chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[174,183,193,200,182,160,65,184,168,107,112,161,87,141,31,142,47,162,128,81,50,120,176,86,74,113,102,147,130,78,134,3,14,53,101,108,89,51,154,66,64,149]",R_3HGNQtHAhV6oD0K,space,3.219,space,1.702,space,0.188,space,0.147,space,0.458,space,6.974,space,2.145,3,4.686,1,3.34,3,2.149,2,1.192,2,0.856,0,0,0,0,1,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,space,1.075,"[""LeftButton_2""]",-0.301388889,-0.346666667,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,"[""LeftButton_2""]",-0.316666667,-0.346666667,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,"[""LeftButton_2""]",-0.316666667,-0.346666667,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,-0.322222222,-0.482222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,1,12.175,space,1.351,72,17.89,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283333333,-0.502222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,73.14814815,5.475,space,40.74074074,9.756,0,1,1,1,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,2.102,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.327777778,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.327777778,-0.502222222,0,0,0,,[],,,,,,,,,,,,,,,,,,0,3,3,3,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,200,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.306944444,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,30.21885522,11.613,space,23.7654321,23.777,0,4,4,4,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,0.938,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.316666667,-0.475555556,1,0,0,LeftButton,"[""LeftButton""]",,,,2.993055556,25.598,space,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,14.014,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280555556,-0.486666667,1,0,0,RightButton,"[""RightButton""]",,,,4.972222222,6.03,space,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,1.463,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.311111111,-0.497777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,60.1010101,4.195,space,59.39955107,7.08,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,1.068,,,,,,,,
