chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
"[148,29,189,81,71,60,134,175,115,125,167,168,183,107,190,94,73,161,118,145,200,117,49,59,95,128,127,195,103,142,74,157,48,101,15,171,70,86,37,9,141,146]",R_3Hq0pKoFXUeyfKX,space,1.4656,space,3.1408,space,14.1248,space,20.7082,space,17.6242,space,6.9388,space,9.8424,3,5.7592,1,6.5544,3,5.6558,1,5.284,3,2.971,0,0,0,0,1,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.2282,space,1.4589,space,0.7196,space,9.8341,space,1.3368,space,1.1848,3,1.9221,1,2.6485,3,2.6326,2,1.9653,2,3.3485,1,0,1,0,1,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,space,3.6556,"[""RightButton_2""]",0.240467665,-0.327630208,1,0,0,RightButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,"[""RightButton_2""]",0.302311198,-0.312265625,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,"[""RightButton_2""]",0.262022569,-0.298168403,1,0,0,RightButton_2,0,2,2,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,-0.251774089,-0.525876736,1,0,0,LeftButton,"[""LeftButton""]",40,4.8862,space,3.5079,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,,,,,,,,,,,,,,,Greater,Smaller,,0.311376953,-0.476484375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293733724,-0.455355903,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,38.6681485,3.8091,space,59.73493617,10.4311,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,4.8219,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.334781901,-0.510555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,61,4.0333,space,20,7.1162,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,0.4665,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Hq0pKoFXUeyfKX,1,2024-05-14_12h57.05.495,interaction task,2021.2.3,MacIntel,61.34969325,120829,,,,,,,,,,,,,,,,,Smaller,Greater,,0.271549479,-0.528168403,1,0,0,RightButton,"[""RightButton""]",,,,,5,8.9656,space,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,8.2101
