choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,57,50]",space,40.0587,space,6.6898,friendly,5.149194525,2.7453,space,0.6999,0,0,0,7,1,8,image/8.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,1.016139777,2.7273,space,0.5003,0,1,1,50,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,3.675690407,5.0871,space,0.5333,0,2,2,47,1,48,image/48.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,4.47986313,1.3967,space,0.1553,0,3,3,2,1,3,image/3.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,2.700187742,1.7622,space,0.3198,0,4,4,38,1,39,image/39.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,2.961119186,1.8122,space,0.369,0,5,5,36,1,37,image/37.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,1.899679021,3.596,space,0.3537,0,6,6,16,1,17,image/17.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,5.143955911,3.6712,space,0.3643,0,7,7,26,1,27,image/27.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,4.277707122,5.8876,space,0.3821,0,8,8,25,1,26,image/26.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,5.480377907,3.1123,space,0.3478,0,9,9,44,1,45,image/45.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,2.145681928,2.7124,space,0.2499,0,10,10,40,1,41,image/41.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,2.648649467,1.8151,space,0.6873,0,11,11,29,1,30,image/30.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,4.602077277,2.6126,space,0.86,0,12,12,6,1,7,image/7.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,3.296420785,2.1123,space,0.396,0,13,13,37,1,38,image/38.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,4.414880087,2.2628,space,0.385,0,14,14,34,1,35,image/35.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,3.061803537,4.3057,space,0.3936,0,15,15,39,1,40,image/40.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,4.014534884,3.0981,space,0.3311,0,16,16,43,1,44,image/44.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,2.981468023,2.148,space,1.4392,0,17,17,27,1,28,image/28.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,5.866491037,5.4408,space,0.5403,0,18,18,24,1,25,image/25.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,4.301931928,6.2232,space,0.4444,0,19,19,1,1,2,image/2.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,3.699672965,4.4226,space,0.8523,0,20,20,18,1,19,image/19.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,4.972262597,2.4147,space,0.5306,0,21,21,3,1,4,image/4.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,7,3.7541,space,1.5241,0,22,22,51,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,1,2.8137,space,1.0911,0,23,23,52,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
,,,,,,2.004451308,2.0463,space,1.0423,0,24,24,32,1,33,image/33.jpg,0,0,,R_3I4v4hVO3BKl5to,2,2024-05-28_10h45.26.096,face trait task,2021.2.3,MacIntel,59.88023952,120750,,,,,,,
