chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_guilt.rt
"[91,183,164,78,64,49,199,108,23,176,107,133,74,45,116,146,96,118,9,172,182,53,120,122,141,152,26,193,137,131,171,84,82,157,148,66,102,70,50,181,165,89]",R_3I4v4hVO3BKl5to,space,5.6461,space,2.1541,space,4.839,space,2.8173,space,8.4593,space,10.8544,space,1.0795,3,6.499,1,5.5134,3,4.9362,2,3.389,2,3.4936,0,0,0,0,1,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,space,4.1,"[""LeftButton_2""]",-0.288061052,-0.329326147,1,0,0,LeftButton_2,0,0,0,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,"[""RightButton_2""]",0.337131998,-0.340681525,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,"[""RightButton_2""]",0.336359797,-0.340681525,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,0.284562017,-0.545633479,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,89.08535159,2.5196,space,1.2598,34.29578117,4.1357,0,0,0,0,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.286359797,-0.521196705,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,64.90837428,2.1675,space,0.4236,42.07446082,2.9677,0,1,1,1,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,0.271537162,-0.521903262,1,0,0,RightButton,"[""RightButton""]",,,,0.0234375,2.4182,space,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,0.4744,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,0.296814672,-0.505924984,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,4.4857,space,64,5.6192,,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,0.4111,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.27816723,-0.509033834,1,0,0,LeftButton,"[""LeftButton""]",,,,0.024372587,4.3463,space,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,0.7169,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259821429,-0.512384932,1,0,0,LeftButton,"[""LeftButton""]",0,1.6551,space,,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,0.4543
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,0.32144667,-0.537720042,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.353408542,-0.504996366,1,0,0,LeftButton,"[""LeftButton""]",,,,0.005851834,1.4531,space,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,0.6515,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,0.282287645,-0.514010013,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283059846,-0.515302003,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,2.5354,space,74,3.6853,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,0.4018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.252744932,-0.492540778,1,0,0,LeftButton,"[""LeftButton""]",0,6.3302,space,,,,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,0.2768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.353589527,-0.499777939,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.87861238,2.617,space,0.5772,6.531409656,4.1836,0,11,11,11,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.290522442,-0.512697836,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,1.7696,space,75,2.7366,,,,,,,0,12,12,12,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,0.4518,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.243297539,-0.528464147,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.244492037,-0.528464147,1,0,0,LeftButton,"[""LeftButton""]",,,,0.037554295,3.2116,space,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,0.6175,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,0.281026786,-0.48828125,1,0,0,RightButton,"[""RightButton""]",0,6.7461,space,,,,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,0.1761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.24554778,-0.476966247,1,0,0,LeftButton,"[""LeftButton""]",0,7.0461,space,,,,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,0.1802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.293924952,-0.525789325,1,0,0,LeftButton,"[""LeftButton""]",,,,0.028836873,2.2202,space,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,0.292,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292591699,-0.490794574,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,
