choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,54,55]",space,9.1419,space,30.648,critical,4.96875,4.8466,space,0.7665,0,0,0,33,1,34,image/34.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,7,13.5996,space,2.4611,0,1,1,50,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.140625,6.1635,space,1.2178,0,2,2,49,1,50,image/50.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,6.0078125,2.3216,space,0.3009,0,3,3,27,1,28,image/28.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,6.7734375,1.783,space,0.5507,0,4,4,30,1,31,image/31.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.71875,1.8639,space,0.5843,0,5,5,44,1,45,image/45.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.9375,2.8325,space,0.0717,0,6,6,25,1,26,image/26.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.390625,13.268,space,0.5302,0,7,7,8,1,9,image/9.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.671875,9.6991,space,1.2635,0,8,8,20,1,21,image/21.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.21875,27.4001,space,0.4203,0,9,9,34,1,35,image/35.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,5.0859375,7.0384,space,1.8607,0,10,10,42,1,43,image/43.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.7265625,5.2535,space,0.8508,0,11,11,12,1,13,image/13.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.765625,5.5492,space,1.32,0,12,12,9,1,10,image/10.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,5.2109375,3.2521,space,2.8175,0,13,13,45,1,46,image/46.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.5234375,5.75,space,2.4623,0,14,14,7,1,8,image/8.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,5.3125,2.7534,space,3.1549,0,15,15,39,1,40,image/40.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.25,10.2718,space,0.6001,0,16,16,6,1,7,image/7.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.7265625,5.4872,space,2.3176,0,17,17,36,1,37,image/37.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.2109375,4.9327,space,1.6308,0,18,18,0,1,1,image/1.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.4765625,8.9004,space,1.2807,0,19,19,3,1,4,image/4.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.546875,8.9675,space,0.3315,0,20,20,15,1,16,image/16.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.59375,4.5791,space,2.7098,0,21,21,1,1,2,image/2.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.859375,5.1245,space,1.1509,0,22,22,13,1,14,image/14.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.265625,8.2683,space,3.6798,0,23,23,32,1,33,image/33.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,2.8515625,8.9274,space,2.1842,0,24,24,43,1,44,image/44.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,2.5,6.604,space,1.7678,0,25,25,17,1,18,image/18.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.9921875,11.2851,space,4.6173,0,26,26,24,1,25,image/25.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,5.625,4.0485,space,1.734,0,27,27,29,1,30,image/30.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.5078125,7.2699,space,0.5005,0,28,28,10,1,11,image/11.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.8984375,2.449,space,3.3012,0,29,29,16,1,17,image/17.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.7421875,9.6687,space,0.7349,0,30,30,46,1,47,image/47.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,5.2578125,7.7482,space,0.3974,0,31,31,19,1,20,image/20.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.0703125,11.1529,space,1.2279,0,32,32,23,1,24,image/24.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.6484375,17.5995,space,0.4301,0,33,33,5,1,6,image/6.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,1,4.1137,space,1.4995,0,34,34,51,1,55,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.9375,5.5145,space,1.9132,0,35,35,38,1,39,image/39.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,5.5234375,5.2957,space,2.1604,0,36,36,28,1,29,image/29.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,5.1875,7.8176,space,0.323,0,37,37,47,1,48,image/48.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.5859375,4.8318,space,1.5181,0,38,38,18,1,19,image/19.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,5.1015625,8.2409,space,0.5323,0,39,39,21,1,22,image/22.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.4140625,17.9126,space,1.2675,0,40,40,35,1,36,image/36.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.6171875,7.4345,space,0.4625,0,41,41,4,1,5,image/5.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,2.5,4.5284,space,2.7085,0,42,42,11,1,12,image/12.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.265625,7.1672,space,2.1463,0,43,43,26,1,27,image/27.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,3.1484375,6.2037,space,2.9699,0,44,44,48,1,49,image/49.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,2.9921875,5.6309,space,4.0638,0,45,45,37,1,38,image/38.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,7,6.0823,space,1.6019,0,46,46,52,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
,,,,,,4.2578125,6.6472,space,0.463,0,47,47,40,1,41,image/41.jpg,0,0,,R_3JqODn0dO2tMalP,2,2024-05-20_11h53.30.574,face trait task,2021.2.3,Win32,59.88023952,120638,,,,,,,
