chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
"[109,5,56,157,92,138,147,83,124,117,105,199,71,116,182,184,75,151,158,41,73,167,101,176,68,125,60,132,120,195,90,170,103,133,49,190,14,48,175,88,24,146]",R_3JqODn0dO2tMalP,space,2.3582,space,5.1459,space,20.9479,space,30.0822,space,40.5313,space,9.157,space,6.9257,3,8.4287,1,18.3128,3,18.3852,1,9.2352,2,21.2504,0,0,0,0,1,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.0656,space,5.1749,space,1.3094,space,22.1409,space,2.3023,space,0.6499,3,3.6291,1,6.9517,3,5.8107,2,3.1636,2,3.0556,1,0,1,0,1,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,space,5.4552,"[""LeftButton_2""]",-0.244509517,-0.3515625,1,0,0,LeftButton_2,0,0,0,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,"[""LeftButton_2""]",-0.276720351,-0.3515625,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,"[""RightButton_2""]",0.273792094,-0.283854167,1,0,0,RightButton_2,0,2,2,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,-0.298682284,-0.536458333,1,0,0,LeftButton,"[""LeftButton""]",,,,3.019765739,15.2007,space,5.6927,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.247437775,-0.510416667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.247437775,-0.510416667,1,0,0,LeftButton,"[""LeftButton""]",70,9.2008,space,,,,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,1.4994,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Greater,Smaller,,0.325036603,-0.526041667,1,0,0,RightButton,"[""RightButton""]",,,,4.981698389,9.0443,space,0.8804,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.25329429,-0.520833333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,40.38703285,10.3739,space,60.05664256,22.5031,0,4,4,4,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,0.6329,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Smaller,Greater,,0.332357247,-0.53125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,4.0748,space,0,9.0511,0,5,5,5,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,0.9568,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.273792094,-0.520833333,1,0,0,LeftButton,"[""LeftButton""]",90,4.2518,space,,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,2.0639,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.270863836,-0.528645833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,90,6.5289,space,70,14.3123,,,,,,0,7,7,7,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,1.3664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.267935578,-0.4921875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,20,6.1517,space,10,12.1831,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,0.6839
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Smaller,Greater,,0.322108346,-0.520833333,1,0,0,RightButton,"[""RightButton""]",,,,3.986090776,7.9297,space,1.0445,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Smaller,Greater,,0.294289898,-0.541666667,1,0,0,RightButton,"[""RightButton""]",30,6.2162,space,,,,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,0.5178,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3JqODn0dO2tMalP,1,2024-05-20_11h33.47.613,interaction task,2021.2.3,Win32,59.52380952,120638,,,,,,,,,,,,,,,,,Greater,Smaller,,0.310395315,-0.505208333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,
