chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[69,180,98,34,74,46,58,84,137,13,76,196,68,88,174,178,162,67,85,55,199,116,11,122,112,148,129,131,132,155,156,104,164,57,185,189,109,142,152,170,107,72]",R_3S8p45ndEmC6VLP,space,1.5746,space,2.2645,space,2.1174,space,14.3988,space,13.8739,space,7.1317,space,2.7756,2,5.536,1,11.0394,2,9.6321,3,8.805,1,1.5899,0,0,0,0,1,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.1507,space,12.9827,space,13.0662,space,14.8397,space,0.0233,space,2.1171,3,6.6071,1,3.1199,3,3.0886,2,4.5478,2,3.0142,1,0,1,0,1,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,space,2.823,"[""RightButton_2""]",0.30218099,-0.326892361,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,"[""LeftButton_2""]",-0.267768012,-0.318307292,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,"[""LeftButton_2""]",-0.230354818,-0.318029514,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.253683811,-0.545486111,1,0,0,RightButton,"[""RightButton""]",,,,0.528320313,11.7202,space,1.5972,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.307698568,-0.49921875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,84.00815885,9.4071,space,49.04426207,15.1399,0,1,1,1,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,6.3835,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.285183377,-0.527821181,1,0,0,LeftButton,"[""LeftButton""]",8,3.8616,space,,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,3.2747,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.248453776,-0.510963542,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259385851,-0.530928819,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,21.3387,space,49,20.4548,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,12.6458,,,,,,
