choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,57,55]",space,10.1516,space,5.6857,competent,1.355377397,6.0381,space,1.8865,0,0,0,50,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,6.983446855,19.8411,space,0.8067,0,1,1,19,1,20,image/20.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,4.009888038,3.4803,space,0.3535,0,2,2,2,1,3,image/3.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,6.018387512,1.7047,space,0.2032,0,3,3,43,1,44,image/44.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,4.987992575,2.666,space,0.3799,0,4,4,4,1,5,image/5.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,5.992954864,2.7068,space,0.1342,0,5,5,8,1,9,image/9.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,6.99785138,4.201,space,0.5624,0,6,6,25,1,26,image/26.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,1.985953578,1.7704,space,0.2163,0,7,7,46,1,47,image/47.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,6.052809284,2.0044,space,0.467,0,8,8,9,1,10,image/10.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
,,,,,,6.947314956,3.0228,space,0.5861,0,9,9,31,1,32,image/32.jpg,0,0,,R_3c8LrmXWaYdFGlX,2,2024-05-27_23h03.32.739,face trait task,2021.2.3,MacIntel,59.52380952,120559,,,,,,,
