chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt
"[54,77,0,190,42,177,110,157,201,179,68,140,147,94,17,151,185,148,112,87,111,80,49,67,159,120,101,173,70,73,137,58,31,99,138,130,126,104,197,88,189,164]",R_3c8LrmXWaYdFGlX,space,2.4682,space,3.9172,space,13.7599,space,29.4539,space,28.9278,space,4.7753,space,1.1412,1,14.2964,2,11.1619,2,10.0255,2,11.1225,2,5.5371,0,0,0,0,1,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1711,space,8.3408,space,0.5952,space,1.0134,space,1.0924,space,1.2274,3,7.2826,1,6.4809,2,2.4464,2,2.9166,2,0.4837,1,0,1,0,1,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.321,space,0.1628,space,0.1474,space,0.1487,space,2.4479,space,0.332,3,2.0988,1,3.1967,3,5.9649,2,1.0336,2,0.3277,2,0,2,0,1,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,space,3.2206,"[""LeftButton_2""]",-0.270819627,-0.326648737,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,"[""LeftButton_2""]",-0.263701572,-0.355055835,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,"[""LeftButton_2""]",-0.301292946,-0.294872544,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,-0.18739492,-0.505649263,1,0,0,LeftButton,"[""LeftButton""]",20,8.2605,space,4.7671,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.294659174,-0.528414406,1,0,0,RightButton,"[""RightButton""]",,,,,,,,79,6.1118,space,70,14.2321,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,0.8514,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.248209064,-0.526843136,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.261983735,-0.528312091,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,8.783282385,6.8282,space,69.09860668,10.6824,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,0.9885,
