chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt
"[151,10,121,168,188,91,82,66,51,106,166,60,143,161,155,195,27,187,111,23,58,167,79,137,117,174,50,107,179,125,62,124,89,152,96,132,38,116,84,201,78,183]",R_3ekubxwa9Ik5zUP,space,1.2871,space,5.9489,space,11.3316,space,67.5857,space,35.9699,space,15.0262,space,4.8087,2,6.4612,2,10.5266,2,6.433,2,11.8072,2,6.1897,0,0,0,0,1,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8048,space,8.4803,space,2.8432,space,0.5171,space,6.2985,space,0.5321,3,2.0047,1,10.5315,3,5.3691,2,5.2311,2,0.8685,1,0,1,0,1,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,space,0.6409,[],-0.443428355,-0.100783476,0,0,0,0,0,0,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,"[""RightButton_2""]",0.268833565,-0.338652956,1,0,0,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,"[""RightButton_2""]",0.280729692,-0.328458868,1,0,0,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,0.2,0.237394362,-0.461271368,1,0,0,RightButton,"[""RightButton""]",10,6.9068,space,6.7514,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.189068807,-0.510594729,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,0,RandomDot19.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,0.302251514,-0.539218305,1,0,0,RightButton,"[""RightButton""]",,,,,,,,10,10.4465,space,29,21.5392,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,4.3511,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,0.293098827,-0.49444667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,11,8.1017,space,23,14.1481,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,5.6799,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.303457682,-0.486578526,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,89.05573138,16.6601,space,9.658230896,14.7875,0,4,4,4,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,9.7346,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.19576974,-0.469540153,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,85.08215352,10.058,space,10.87498981,5.5759,0,5,5,5,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,8.9362,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.278522326,-0.48478677,1,0,0,RightButton,"[""RightButton""]",,,,,,,,10,3.602,space,30,7.356,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,2.5894,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.24198253,-0.538060897,1,0,0,RightButton,"[""RightButton""]",,,,,2.543201312,11.6248,space,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,1.6608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.324569564,-0.48828125,1,0,0,LeftButton,"[""LeftButton""]",10,1.8459,space,1.4982,,,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,
