chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt
"[144,112,192,54,44,179,49,108,182,107,122,169,156,123,63,158,93,186,119,130,139,70,184,32,133,77,202,103,17,60,137,53,87,166,73,82,147,0,174,148,97,91]",R_3g0YlMh4uWQIm91,space,1.8477,space,3.7115,space,12.7485,space,21.8698,space,32.1001,space,0.0021,space,3.2053,3,7.1988,3,8.2142,3,12.6297,2,5.1115,2,2.7949,0,0,0,0,1,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.537,space,1.0836,space,0.6344,space,0.8849,space,10.9015,space,3.3341,3,2.3049,1,10.0166,3,4.035,2,2.1003,2,0.6717,1,0,1,0,1,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,space,2.8947,"[""LeftButton_2""]",-0.246280162,-0.301939969,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,"[""RightButton_2""]",0.350106049,-0.295646294,1,0,0,RightButton_2,0,1,1,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,"[""LeftButton_2""]",-0.23436186,-0.290124105,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,0.312602573,-0.514074707,1,0,0,RightButton,"[""RightButton""]",6,4.4749,space,1.2158,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,0.30023329,-0.50716824,1,0,0,RightButton,"[""RightButton""]",,,,,0.996450424,9.5923,space,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,1.9508,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250233883,-0.532493218,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.303087065,-0.502882894,1,0,0,LeftButton,"[""LeftButton""]",3,2.2162,space,1.2211,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Smaller,Greater,,0.337612067,-0.527236735,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,3,RandomDot26.png,No answer,20,,,
