choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,59,53,50]",space,12.282,space,21.7934,friendly,3.009583333,8.6578,space,1.3572,0,0,0,49,1,50,image/50.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,3.988541667,5.3227,space,0.7385,0,1,1,47,1,48,image/48.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,5.429609375,4.7675,space,0.6096,0,2,2,19,1,20,image/20.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,2.087864583,2.3071,space,0.4017,0,3,3,8,1,9,image/9.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,5.009505208,3.0465,space,0.3201,0,4,4,6,1,7,image/7.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,2.999973958,2.5148,space,0.5196,0,5,5,5,1,6,image/6.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,5.52578125,3.6957,space,1.8731,0,6,6,9,1,10,image/10.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,2.921692708,2.3713,space,0.6922,0,7,7,36,1,37,image/37.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,6.376276042,3.0504,space,0.2705,0,8,8,17,1,18,image/18.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,2.740052083,2.7378,space,0.5533,0,9,9,43,1,44,image/44.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,4.016510417,2.1605,space,1.1824,0,10,10,32,1,33,image/33.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,5.022057292,2.0937,space,1.0572,0,11,11,14,1,15,image/15.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,2.7703125,2.1897,space,0.5295,0,12,12,0,1,1,image/1.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,6.959869792,5.9179,space,1.8687,0,13,13,50,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,1.419453125,7.8923,space,0.4563,0,14,14,25,1,26,image/26.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,2.645755208,2.1246,space,0.3081,0,15,15,4,1,5,image/5.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,3.835911458,1.9702,space,0.5415,0,16,16,41,1,42,image/42.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,5.283619792,4.0626,space,1.973,0,17,17,35,1,36,image/36.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,3.545625,2.0181,space,0.4512,0,18,18,28,1,29,image/29.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,1.021875,3.2502,space,0.7429,0,19,19,18,1,19,image/19.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
,,,,,,3.37734375,3.0245,space,0.5081,0,20,20,24,1,25,image/25.jpg,0,0,,R_3hlnjdAbx50vJ5l,2,2024-05-31_22h23.29.001,face trait task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,
