chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
"[79,203,49,24,165,177,14,97,89,133,169,163,72,100,88,115,39,136,62,151,152,160,154,168,60,110,123,58,117,71,191,107,81,139,86,124,57,126,6,192,185,186]",R_3hlnjdAbx50vJ5l,space,1.7906,space,2.2013,space,9.6408,space,19.157,space,6.8006,space,7.5983,space,3.344,3,14.0859,2,5.1332,3,15.3533,2,9.0557,3,6.3896,0,0,0,0,1,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.4976,space,7.9844,space,11.5701,space,8.6349,space,1.2078,space,0.5195,3,2.2455,2,10.1757,3,3.424,2,3.5705,2,3.1086,1,0,1,0,1,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8566,space,0.1609,space,0.1565,space,0.5785,space,3.4218,space,0.8447,3,1.3974,3,4.1647,3,2.0513,2,0.3858,2,0.1598,2,0,2,0,1,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.97,space,0.3642,space,0.311,space,0.4843,space,1.8774,space,0.509,3,1.1809,1,1.3517,3,1.4619,2,1.994,2,2.7993,3,0,3,0,1,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,space,2.8968,"[""LeftButton_2""]",-0.237765842,-0.301571181,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,"[""LeftButton_2""]",-0.242442491,-0.313246528,1,0,0,LeftButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,"[""RightButton_2""]",0.271582031,-0.333090278,1,0,0,RightButton_2,0,2,2,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Smaller,Greater,0.2,-0.237456597,-0.488116319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,40,6.2091,space,1.5202,96,9.8746,,,,,,0,0,0,0,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291997613,-0.543272569,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.24437934,-0.516571181,1,0,0,LeftButton,"[""LeftButton""]",12,6.0349,space,,,,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,3.82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.352924262,-0.535668403,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Smaller,Greater,,0.336083984,-0.514991319,1,0,0,RightButton,"[""RightButton""]",,,,0.010335286,8.9202,space,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,2.4264,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269710286,-0.5109375,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,4,4.8699,space,1.1279,95,7.1809,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.282307943,-0.514904514,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,1,RandomDot29.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.30265842,-0.535798611,1,0,0,LeftButton,"[""LeftButton""]",4,2.6827,space,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,1.1593,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,0.299365234,-0.517569444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,79.76981183,5.1602,space,6.283209701,8.2853,0,8,8,8,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,1.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.286349826,-0.521857639,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,94.65499176,3.3927,space,6.806563903,4.9848,0,9,9,9,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,0.8478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.286843533,-0.525503472,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,5,3.4214,space,1.4864,96,5.962,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Smaller,Greater,,0.273019748,-0.53640625,1,0,0,RightButton,"[""RightButton""]",,,,2.137071398,3.277,space,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,1.2688,
