choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,54,55]",space,2.8133,space,18.452,friendly,2.003462088,2.9688,space,1.2184,0,0,0,16,1,17,image/17.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,1.998297294,5.6385,space,0.5669,0,1,1,23,1,24,image/24.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.309867467,3.5147,space,0.6865,0,2,2,14,1,15,image/15.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.262041016,2.6724,space,0.3836,0,3,3,28,1,29,image/29.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.293159528,3.2972,space,0.3348,0,4,4,49,1,50,image/50.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.543574219,4.1243,space,0.3838,0,5,5,11,1,12,image/12.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.466796177,2.246,space,0.2673,0,6,6,36,1,37,image/37.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.000701032,2.5292,space,0.3341,0,7,7,35,1,36,image/36.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.825187988,2.7962,space,0.2508,0,8,8,18,1,19,image/19.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.825187988,1.7133,space,0.2174,0,9,9,25,1,26,image/26.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.301609235,1.7975,space,0.584,0,10,10,27,1,28,image/28.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.004508929,3.5074,space,0.2337,0,11,11,10,1,11,image/11.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.505845424,2.6299,space,1.5669,0,12,12,12,1,13,image/13.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.505845424,1.2468,space,0.4005,0,13,13,0,1,1,image/1.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,4.661570173,3.9564,space,0.318,0,14,14,40,1,41,image/41.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.001441825,3.157,space,0.2675,0,15,15,30,1,31,image/31.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.735011161,2.5961,space,0.4338,0,16,16,31,1,32,image/32.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,6.979462193,4.7459,space,1.6849,0,17,17,52,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.556871512,3.2697,space,0.5338,0,18,18,46,1,47,image/47.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.721294992,2.413,space,0.2837,0,19,19,19,1,20,image/20.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,5.000127302,2.8628,space,1.2173,0,20,20,3,1,4,image/4.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.012455357,2.1462,space,0.3671,0,21,21,44,1,45,image/45.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,1.983340018,2.1631,space,0.2509,0,22,22,42,1,43,image/43.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.990639997,2.0961,space,0.3182,0,23,23,29,1,30,image/30.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,1.993733259,1.8806,space,0.2502,0,24,24,9,1,10,image/10.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,5.002155413,2.0804,space,0.2837,0,25,25,1,1,2,image/2.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.998994489,2.0469,space,0.2334,0,26,26,37,1,38,image/38.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.00165911,1.713,space,0.2506,0,27,27,39,1,40,image/40.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.780378767,2.2962,space,0.3336,0,28,28,6,1,7,image/7.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,5.992975725,1.7965,space,0.2338,0,29,29,17,1,18,image/18.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.995915527,1.697,space,0.2167,0,30,30,22,1,23,image/23.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.995915527,1.2468,space,0.2173,0,31,31,2,1,3,image/3.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.995915527,2.5134,space,0.234,0,32,32,15,1,16,image/16.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,4.996116071,1.8458,space,0.217,0,33,33,43,1,44,image/44.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,1.003879569,2.7119,space,0.7002,0,34,34,51,1,55,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,1.984445975,1.9622,space,0.2671,0,35,35,45,1,46,image/46.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,1.984445975,1.1626,space,0.2175,0,36,36,13,1,14,image/14.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.27109933,1.9128,space,0.234,0,37,37,41,1,42,image/42.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,1.99069179,1.9136,space,0.2337,0,38,38,32,1,33,image/33.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,4.504247349,1.8142,space,0.2519,0,39,39,4,1,5,image/5.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.005487409,3.0632,space,0.2512,0,40,40,47,1,48,image/48.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,5.446436244,1.9636,space,0.4838,0,41,41,20,1,21,image/21.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,2.005608782,2.6962,space,0.2675,0,42,42,8,1,9,image/9.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.439598563,5.4235,space,0.367,0,43,43,21,1,22,image/22.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,5.573165458,1.9805,space,0.3337,0,44,44,48,1,49,image/49.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,3.544703195,1.4801,space,0.2508,0,45,45,5,1,6,image/6.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
,,,,,,5.975036272,1.997,space,0.2181,0,46,46,34,1,35,image/35.jpg,0,0,,R_3kN6FWJDmiyDkpx,2,2024-05-29_12h40.23.735,face trait task,2021.2.3,MacIntel,59.88023952,120788,,,,,,,
