chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,key_forgiveness.rt
"[24,130,70,51,170,41,110,132,169,62,190,84,72,106,112,97,165,141,129,49,16,98,142,128,197,166,61,146,187,82,73,154,54,90,203,9,111,183,179,94,163,152]",R_3kN6FWJDmiyDkpx,space,1.4146,space,1.1409,space,4.507,space,0.645,space,2.3812,space,3.0399,space,2.2654,1,9.6401,2,8.0901,2,10.683,2,6.3083,1,5.0632,0,0,0,0,1,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1995,space,10.3521,space,7,space,0.9118,space,2.5063,space,0.9106,3,1.3989,1,4.8661,3,2.1404,2,1.9979,3,1.3992,1,0,1,0,1,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,25.4559,space,0.5315,space,0.5659,space,8.2065,space,0.7985,space,0.5784,3,1.3647,1,3.5315,3,6.9988,3,10.9473,2,3.9165,2,0,2,0,1,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.8576,space,0.3347,space,0.2472,space,4.2094,space,0.7673,space,0.1817,3,1.076,1,0.8987,3,4.1406,3,6.369,2,4.2655,3,0,3,0,1,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5706,space,0.1387,space,0.8657,space,6.131,space,1.278,space,0.3454,3,1.1849,1,0.9785,3,3.7801,2,2.4136,2,3.9488,4,0,4,0,1,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,space,1.6944,[],0.999981399,1,0,0,0,0,0,0,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,"[""RightButton_2""]",0.266910371,-0.27765067,1,0,0,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,"[""RightButton_2""]",0.269405256,-0.350398182,1,0,0,0,2,2,2,1,RightButton_2,9dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,0.2,0.314244298,-0.520208915,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.282105727,-0.493322289,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,40,3.6844,space,59,10.753,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,1.1375,,,
