choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,54,60]",space,30.369,space,37.906,trustworthy,1,9.779,space,1.396,0,0,0,50,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,5.013333333,5.601,space,2.343,0,1,1,1,1,2,image/2.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,5.553333333,5.777,space,0.709,0,2,2,35,1,36,image/36.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,3.813333333,6.193,space,2.901,0,3,3,48,1,49,image/49.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,5.266666667,3.887,space,1.868,0,4,4,33,1,34,image/34.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,4.626666667,5.045,space,0.551,0,5,5,3,1,4,image/4.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,3.4,3.954,space,1.183,0,6,6,28,1,29,image/29.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,5.5,3.97,space,1.584,0,7,7,12,1,13,image/13.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,2.853333333,3.544,space,0.799,0,8,8,42,1,43,image/43.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,2.56,5.085,space,2.618,0,9,9,8,1,9,image/9.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,3.466666667,5.554,space,0.567,0,10,10,30,1,31,image/31.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,4.986666667,4.168,space,1.373,0,11,11,22,1,23,image/23.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,4.493333333,3.857,space,1.386,0,12,12,41,1,42,image/42.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,2.98,5.902,space,2.184,0,13,13,46,1,47,image/47.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,5.973333333,4.991,space,0.569,0,14,14,21,1,22,image/22.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,5.446666667,2.356,space,0.609,0,15,15,31,1,32,image/32.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,5.506666667,2.002,space,0.442,0,16,16,43,1,44,image/44.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,6.98,4.404,space,0.9,0,17,17,52,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,6.006666667,5.268,space,0.784,0,18,18,27,1,28,image/28.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,6.84,3.627,space,1.954,0,19,19,17,1,18,image/18.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,5.16,4.386,space,0.535,0,20,20,10,1,11,image/11.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
,,,,,,4.466666667,8.004,space,2.303,0,21,21,37,1,38,image/38.jpg,0,0,,R_3rOQiJSaYzSrL8h,2,2024-05-31_12h47.11.995,face trait task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,
