chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[164,195,203,191,140,163,180,176,178,115,138,51,49,72,131,90,75,64,186,30,80,38,102,112,50,70,68,143,8,146,128,23,119,105,171,148,96,124,88,167,155,95]",R_3rOQiJSaYzSrL8h,space,1.891,space,14.091,space,89.563,space,49.499,space,63.696,space,21.385,space,9.093,3,12.189,1,7.158,3,8.271,3,11.456,2,1.444,0,0,0,0,1,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.032,space,0.912,space,1.137,space,0.537,space,1.324,space,1.128,3,2.744,1,2.419,3,2.267,2,1.431,2,6.256,1,0,1,0,1,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,space,7.686,"[""LeftButton_2""]",-0.330555556,-0.32,1,0,0,LeftButton_2,0,0,0,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,"[""LeftButton_2""]",-0.401388889,-0.317777778,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,"[""RightButton_2""]",0.288888889,-0.331111111,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.258333333,-0.508888889,1,0,0,LeftButton,"[""LeftButton""]",,,,2.055555556,11.975,space,3.36,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.273611111,-0.515555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.223611111,-0.526666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.238888889,-0.513333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50,3.333,space,50.70145903,6.18,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,1.235,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254166667,-0.52,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,98.96184063,4.317,space,0.757575758,7.479,0,4,4,4,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,0.432,,,,,,,,
