key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,1.865,space,1.346,3.96,4.777,space,0.518,0,0,0,29,1,30,image/30.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,3.026666667,2.357,space,0.401,0,1,1,46,1,47,image/47.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,1.953333333,1.756,space,0.538,0,2,2,34,1,35,image/35.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,4.933333333,1.739,space,0.293,0,3,3,20,1,21,image/21.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,2.986666667,1.572,space,0.304,0,4,4,14,1,15,image/15.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,2.953333333,1.539,space,0.268,0,5,5,28,1,29,image/29.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,2.006666667,1.506,space,0.243,0,6,6,16,1,17,image/17.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,4.986666667,2.657,space,0.311,0,7,7,44,1,45,image/45.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,3.946666667,1.82,space,0.354,0,8,8,51,1,57,image/57.jpg,1,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,1.92,1.671,space,0.536,0,9,9,40,1,41,image/41.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,5.993333333,3.739,space,0.37,0,10,10,4,1,5,image/5.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
,,,,2.966666667,1.906,space,0.705,0,11,11,36,1,37,image/37.jpg,0,R_3zJ5QiBCzzLGrFb,2,2024-04-14_16h07.09.831,face trait task,2021.2.3,MacIntel,62.5,120769,,,,,,,
