chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,clicked_guilt,incompleteTrials,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,judge.clicked_name,key_apology.rt,key_share.rt,key_forgiveness.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[172,201,195,176,163,87,160,189,186,168,85,191,34,155,126,42,67,4,80,55,122,135,56,147,70,91,148,106,115,133,73,50,136,97,98,112,162,75,60,111,121,21]",R_3zJ5QiBCzzLGrFb,space,1.383,space,0.825,space,0.574,space,0.387,space,0.787,space,2.879,space,0.863,3,3.997,1,4.361,3,9.422,2,3.639,2,5.728,0,0,0,0,1,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,space,1.671,"[""RightButton_2""]",0.272222222,-0.308888889,1,0,0,RightButton_2,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,"[""LeftButton_2""]",-0.290277778,-0.353333333,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,"[""RightButton_2""]",0.319444444,-0.32,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,0.319444444,-0.32,0,0,0,[],172,,,,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.252777778,-0.475555556,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,LeftButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.298611111,-0.506666667,1,0,0,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,RightButton,5,RightButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.206944444,-0.508888889,1,0,0,"[""RightButton""]",,,,,,,,68,13.28,space,49,15.248,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,RightButton,12.489,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.272222222,-0.502222222,1,0,0,"[""LeftButton""]",,,,,3,4.135,space,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,LeftButton,,0.439,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.326388889,-0.497777778,1,0,0,"[""RightButton""]",,,,,,,,,,,,,80.72390572,5.649,space,49.85970819,7.198,0,5,5,5,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,RightButton,,,0.357,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.238888889,-0.491111111,1,0,0,"[""LeftButton""]",,,,,2.923611111,2.416,space,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,LeftButton,,0.688,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.340277778,-0.48,1,0,0,"[""RightButton""]",,,,,,,,,,,,,69.50056117,2.431,space,69.21997755,4.917,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,RightButton,,,0.296,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.302777778,-0.526666667,1,0,0,"[""RightButton""]",,,,,,,,,,,,,69.21997755,3.446,space,70.2020202,4.549,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,RightButton,,,0.441,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.201388889,-0.513333333,1,0,0,"[""RightButton""]",,,,,,,,71,2.723,space,40,4.517,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,RightButton,0.689,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240277778,-0.524444444,1,0,0,"[""RightButton""]",,,,,,,,,,,,,89.70258137,5.444,space,48.59708193,7.096,0,10,10,10,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,RightButton,,,0.37,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.261111111,-0.506666667,1,0,0,"[""RightButton""]",,,,,,,,,,,,,69.21997755,2.915,space,69.64085297,4.209,0,11,11,11,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,RightButton,,,0.325,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.261111111,-0.522222222,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,2,RandomDot15.png,No answer,21,LeftButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.311111111,-0.493333333,1,0,0,"[""RightButton""]",,70,3.387,space,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,RightButton,,,,0.578,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281944444,-0.544444444,1,0,0,"[""RightButton""]",,,,,,,,1,3.231,space,2,5.149,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,RightButton,0.471,,,,,,,,
