key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,18.2135,space,5.6472,space,1.1009,4,6.7538,0,0,0,42,1,43,image/43.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,3.8009,0,1,1,21,1,22,image/22.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,1.2653,0,2,2,16,1,17,image/17.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,1,1.301,0,3,3,45,1,46,image/46.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,5,1.7152,0,4,4,47,1,48,image/48.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,7,2.4189,0,5,5,43,1,44,image/44.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,6,1.1596,0,6,6,3,1,4,image/4.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,1.8866,0,7,7,0,1,1,image/1.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,5,0.8929,0,8,8,12,1,13,image/13.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,2.0897,0,9,9,38,1,39,image/39.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
