choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,55,50]",space,8.9171,space,30.0665,friendly,4.011380208,3.2025,space,1.0263,0,0,0,1,1,2,image/2.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.0034375,4.4641,space,1.8041,0,1,1,16,1,17,image/17.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.056015625,3.5278,space,1.2555,0,2,2,30,1,31,image/31.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.991015625,4.9805,space,0.4236,0,3,3,47,1,48,image/48.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.745416667,4.1256,space,1.3043,0,4,4,10,1,11,image/11.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.367473958,3.2146,space,1.2664,0,5,5,4,1,5,image/5.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.442630208,2.5638,space,2.0187,0,6,6,48,1,49,image/49.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.011692708,4.3948,space,1.1111,0,7,7,50,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.330416667,3.9783,space,0.668,0,8,8,20,1,21,image/21.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,2.978854167,3.1641,space,1.8848,0,9,9,29,1,30,image/30.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.611510417,2.5024,space,2.1209,0,10,10,32,1,33,image/33.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.182421875,6.5664,space,2.6207,0,11,11,46,1,47,image/47.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.542864583,3.3778,space,1.2216,0,12,12,0,1,1,image/1.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,2.023020833,4.9922,space,0.4928,0,13,13,27,1,28,image/28.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.003645833,2.8592,space,1.6559,0,14,14,39,1,40,image/40.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.00203125,2.7812,space,1.0671,0,15,15,45,1,46,image/46.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.2046875,2.1301,space,0.9342,0,16,16,18,1,19,image/19.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,6.023541667,4.3482,space,3.0025,0,17,17,34,1,35,image/35.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.404635417,2.2485,space,1.3556,0,18,18,22,1,23,image/23.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.9975,3.1907,space,0.5427,0,19,19,11,1,12,image/12.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.97984375,2.6628,space,1.3379,0,20,20,37,1,38,image/38.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,2.417864583,4.9146,space,2.721,0,21,21,15,1,16,image/16.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.336744792,1.9691,space,1.3839,0,22,22,14,1,15,image/15.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.029583333,2.0973,space,0.8352,0,23,23,38,1,39,image/39.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,6.9296875,4.0452,space,2.3066,0,24,24,51,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,5.022942708,2.6013,space,2.3695,0,25,25,40,1,41,image/41.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.263828125,2.9483,space,0.7513,0,26,26,6,1,7,image/7.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.232473958,1.9289,space,1.1508,0,27,27,28,1,29,image/29.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.33984375,2.2977,space,2.1014,0,28,28,25,1,26,image/26.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.30671875,2.315,space,0.8708,0,29,29,12,1,13,image/13.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.544140625,1.8147,space,0.9722,0,30,30,24,1,25,image/25.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,2.681458333,3.7162,space,2.2357,0,31,31,5,1,6,image/6.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,4.965026042,2.3973,space,0.2853,0,32,32,31,1,32,image/32.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.966875,3.7465,space,0.9192,0,33,33,23,1,24,image/24.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,5.04234375,1.7967,space,1.1223,0,34,34,36,1,37,image/37.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.670807292,3.7588,space,0.4716,0,35,35,19,1,20,image/20.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.991588542,2.0805,space,1.0375,0,36,36,7,1,8,image/8.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,2.029401042,3.7982,space,1.0855,0,37,37,26,1,27,image/27.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,5.028411458,3.3465,space,1.1849,0,38,38,33,1,34,image/34.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1,3.7949,space,1.2516,0,39,39,52,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,1.934010417,2.1444,space,0.7187,0,40,40,21,1,22,image/22.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,3.455494792,2.3817,space,0.5851,0,41,41,43,1,44,image/44.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,6.007760417,3.4467,space,1.19,0,42,42,2,1,3,image/3.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
,,,,,,2.980260417,3.4412,space,0.3097,0,43,43,41,1,42,image/42.jpg,0,0,,R_53TWARpLPmUzLYZ,2,2024-05-28_12h06.35.148,face trait task,2021.2.3,MacIntel,59.17159763,120542,,,,,,,
