chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt
"[156,93,167,149,54,75,27,98,137,177,101,165,57,141,186,104,168,120,184,89,147,67,114,1,169,88,59,200,60,193,146,64,124,138,189,117,43,74,18,111,80,122]",R_53TWARpLPmUzLYZ,space,1.9922,space,5.3676,space,12.6772,space,34.1898,space,59.9148,space,11.3894,space,4.523,4,6.3726,1,7.8241,3,13.4402,1,10.1626,1,8.1233,0,0,0,0,1,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,4.0653,space,21.3095,space,20.1864,space,24.1131,space,6.3718,space,0.4479,3,4.831,1,6.2839,3,3.9159,2,3.5346,2,2.7519,1,0,1,0,1,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,space,4.243,"[""RightButton_2""]",0.247254774,-0.270442708,1,0,0,RightButton_2,0,0,0,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,[],-0.283273655,-0.294939236,1,0,0,,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,"[""LeftButton_2""]",-0.283273655,-0.294939236,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,0.236604818,-0.458697917,1,0,0,RightButton,"[""RightButton""]",,,,2.004909939,9.291,space,1.243,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.371929253,-0.499835069,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,49.98575161,7.9136,space,50.3978588,4.5141,0,1,1,1,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,1.9029,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282492405,-0.525954861,1,0,0,LeftButton,"[""LeftButton""]",,,,2.936225043,4.5959,space,1.7187,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301285807,-0.512682292,1,0,0,RightButton,"[""RightButton""]",82,3.1683,space,,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,1.6142,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.211919488,-0.496744792,1,0,0,LeftButton,"[""LeftButton""]",90,2.5515,space,,,,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,0.9673,
