key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,34.242,space,16.582,4.953333333,10.147,space,2.488,0,0,0,37,1,38,image/38.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,2.98,3.887,space,2.357,0,1,1,47,1,48,image/48.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,2.433333333,1.969,space,0.997,0,2,2,49,1,50,image/50.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,3.88,6.287,space,2.372,0,3,3,39,1,40,image/40.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,2.553333333,1.988,space,0.489,0,4,4,44,1,45,image/45.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,1.993333333,5.386,space,1.189,0,5,5,33,1,34,image/34.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,1.38,2.935,space,1.753,0,6,6,4,1,5,image/5.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,1,2.069,space,0.622,0,7,7,11,1,12,image/12.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,1.146666667,3.785,space,1.103,0,8,8,2,1,3,image/3.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,2.833333333,3.102,space,0.267,0,9,9,24,1,25,image/25.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.586666667,4.888,space,2.519,0,10,10,9,1,10,image/10.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.586666667,5.722,space,3.675,0,11,11,6,1,7,image/7.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,2.773333333,1.955,space,5.47,0,12,12,12,1,13,image/13.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.44,3.088,space,1.467,0,13,13,25,1,26,image/26.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,4.273333333,5.301,space,1.319,0,14,14,36,1,37,image/37.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.14,9.337,space,0.412,0,15,15,30,1,31,image/31.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.14,4.536,space,0.329,0,16,16,40,1,41,image/41.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,3.78,2.168,space,0.277,0,17,17,52,1,52,image/52.jpg,1,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,2.846666667,2.487,space,0.396,0,18,18,7,1,8,image/8.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,1.14,2.955,space,0.279,0,19,19,26,1,27,image/27.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.293333333,3.521,space,0.402,0,20,20,22,1,23,image/23.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,4.006666667,3.702,space,0.331,0,21,21,34,1,35,image/35.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.146666667,5.688,space,0.305,0,22,22,48,1,49,image/49.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.413333333,6.319,space,0.176,0,23,23,32,1,33,image/33.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.493333333,5.521,space,0.171,0,24,24,42,1,43,image/43.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.273333333,7.553,space,0.945,0,25,25,15,1,16,image/16.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,3.52,3.12,space,0.322,0,26,26,20,1,21,image/21.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.086666667,6.303,space,0.34,0,27,27,1,1,2,image/2.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.68,2.436,space,0.856,0,28,28,45,1,46,image/46.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,1.753333333,4.936,space,0.821,0,29,29,35,1,36,image/36.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.353333333,3.07,space,0.271,0,30,30,31,1,32,image/32.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,1.72,5.72,space,0.565,0,31,31,5,1,6,image/6.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,2.646666667,5.153,space,0.555,0,32,32,51,1,56,image/56.jpg,1,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.186666667,4.434,space,0.629,0,33,33,43,1,44,image/44.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,4.633333333,6.236,space,5.288,0,34,34,21,1,22,image/22.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,4.24,7.07,space,5.405,0,35,35,3,1,4,image/4.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,2.4,1.868,space,0.31,0,36,36,10,1,11,image/11.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,1.62,4.036,space,0.485,0,37,37,28,1,29,image/29.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.266666667,4.569,space,0.322,0,38,38,0,1,1,image/1.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.693333333,6.669,space,0.338,0,39,39,16,1,17,image/17.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,5.2,4.286,space,0.741,0,40,40,41,1,42,image/42.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,3.2,8.971,space,0.157,0,41,41,23,1,24,image/24.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,4.013333333,6.502,space,0.419,0,42,42,14,1,15,image/15.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
,,,,6.226666667,4.903,space,0.355,0,43,43,46,1,47,image/47.jpg,0,R_54voFul3k9D7bqr,2,2024-04-10_21h41.46.546,face trait task,2021.2.3,MacIntel,30.3030303,SONAid,,,,,,,
