chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_guilt.rt
"[172,179,193,80,198,156,82,111,161,135,152,96,138,55,103,90,144,178,106,46,54,120,92,87,27,59,122,147,127,166,113,1,115,71,140,79,183,190,62,189,13,70]",R_54voFul3k9D7bqr,space,1.488,space,5.207,space,4.07,space,2.148,space,23.496,space,10.729,space,7.567,1,13.275,2,10.266,2,9.71,2,9.202,2,2.837,0,0,0,0,1,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,7.338,space,27.835,space,36.276,space,45.075,space,15.43,space,0.978,2,7.657,1,11.463,3,5.394,2,1.896,2,0.339,1,0,1,0,1,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.789,space,0.273,space,0.17,space,0.158,space,0.821,space,0.439,3,1.466,1,9.546,3,3.289,2,2.086,2,1.524,2,0,2,0,1,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,space,3.881,"[""LeftButton_2""]",-0.269444444,-0.335555556,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,"[""RightButton_2""]",0.341666667,-0.302222222,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,"[""LeftButton_2""]",-0.243055556,-0.311111111,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,-0.2125,-0.493333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,19,10.104,space,1.855,8,20.572,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.225,-0.542222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,30,6.296,space,1.191,16,9.696,,,,,,0,1,1,1,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.290277778,-0.486666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.326388889,-0.526666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,11,6.964,space,0.95,3,11.849,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,
