choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,58,53]",space,15.8728,space,52.523,competent,3.995000076,6.5125,space,7.0039,0,0,0,11,1,12,image/12.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.015000153,7.6537,space,1.27,0,1,1,10,1,11,image/11.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,6.990000153,9.7941,space,2.7538,0,2,2,20,1,21,image/21.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.960000229,5.6695,space,1.2886,0,3,3,47,1,48,image/48.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,5.995000458,7.8508,space,1.0203,0,4,4,41,1,42,image/42.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,7.302,space,0.4869,0,5,5,24,1,25,image/25.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,5.5015,space,0.7403,0,6,6,30,1,31,image/31.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.990000153,5.4356,space,1.5421,0,7,7,5,1,6,image/6.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.015000153,7.9532,space,1.0532,0,8,8,15,1,16,image/16.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,4.4775,space,0.4471,0,9,9,36,1,37,image/37.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,4.004999924,5.0467,space,0.4536,0,10,10,4,1,5,image/5.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,6.984999847,7.5013,space,0.9893,0,11,11,25,1,26,image/26.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,10.6354,space,2.3027,0,12,12,48,1,49,image/49.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,1.989999962,3.7,space,0.8056,0,13,13,8,1,9,image/9.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.029999924,4.6178,space,0.5541,0,14,14,13,1,14,image/14.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,4.529999924,16.0344,space,0.6883,0,15,15,21,1,22,image/22.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.985000229,5.2851,space,0.522,0,16,16,40,1,41,image/41.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.470000076,5.6203,space,0.3539,0,17,17,28,1,29,image/29.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.504999924,5.29,space,0.4462,0,18,18,33,1,34,image/34.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,4.004999924,7.7976,space,0.4356,0,19,19,31,1,32,image/32.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.504999924,4.418,space,0.6559,0,20,20,22,1,23,image/23.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,1,8.6611,space,3.0365,0,21,21,52,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.010000038,7.7573,space,3.7294,0,22,22,38,1,39,image/39.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,3.6764,space,0.9014,0,23,23,27,1,28,image/28.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.025,6.5035,space,0.5099,0,24,24,9,1,10,image/10.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,5.1044,space,0.6453,0,25,25,2,1,3,image/3.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,4.0111,space,0.8117,0,26,26,26,1,27,image/27.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,2.0732,space,0.413,0,27,27,34,1,35,image/35.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,1.4212,space,0.4357,0,28,28,12,1,13,image/13.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,1.2832,space,0.3878,0,29,29,19,1,20,image/20.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,1.2632,space,0.3747,0,30,30,32,1,33,image/33.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,1.2148,space,0.4062,0,31,31,23,1,24,image/24.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,2.995000076,1.2814,space,0.3902,0,32,32,37,1,38,image/38.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,7,2.8296,space,1.8733,0,33,33,51,1,59,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,2.4467,space,1.4993,0,34,34,46,1,47,image/47.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,1.2733,space,0.3691,0,35,35,49,1,50,image/50.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,0.6462,space,0.5398,0,36,36,17,1,18,image/18.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,0.8199,space,0.7362,0,37,37,6,1,7,image/7.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3.004999924,0.6236,space,0.4212,0,38,38,42,1,43,image/43.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,1,2.9955,space,1.3637,0,39,39,50,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,2.0017,space,0.4061,0,40,40,43,1,44,image/44.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.1901,space,0.3374,0,41,41,16,1,17,image/17.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.2299,space,1.0945,0,42,42,14,1,15,image/15.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.1512,space,0.588,0,43,43,29,1,30,image/30.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.2073,space,0.3904,0,44,44,7,1,8,image/8.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.4588,space,0.3745,0,45,45,39,1,40,image/40.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.7187,space,1.1223,0,46,46,0,1,1,image/1.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.2144,space,0.3364,0,47,47,3,1,4,image/4.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.4592,space,0.3711,0,48,48,1,1,2,image/2.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
,,,,,,3,1.179,space,0.3504,0,49,49,44,1,45,image/45.jpg,0,0,,R_59nXN3KJnjYkf8b,2,2024-05-10_20h40.49.992,face trait task,2021.2.3,Win32,60.24096386,121562,,,,,,,
