chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt
"[8,99,110,46,120,187,118,53,190,59,150,91,183,167,137,131,34,135,168,88,173,69,149,148,19,51,202,92,159,197,172,126,100,79,141,67,105,114,82,165,83,64]",R_59nXN3KJnjYkf8b,space,8.2659,space,5.3961,space,16.5969,space,33.3821,space,205.2632,space,23.5513,space,9.1529,2,24.7176,1,23.5205,2,16.3966,2,17.6719,2,5.1819,0,0,0,0,1,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,4.5523,space,23.6192,space,14.5902,space,5.6963,space,1.2243,space,2.2526,3,3.8048,1,11.91,3,5.5285,2,8.4359,3,6.3387,1,0,1,0,1,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9545,space,2.235,space,5.73,space,7.4359,space,2.0908,space,0.5549,3,1.7544,1,3.112,3,8.9263,2,3.7987,2,2.5775,2,0,2,0,1,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,space,4.0581,"[""LeftButton_2""]",-0.262499968,-0.3,1,0,0,LeftButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,"[""RightButton_2""]",0.247916698,-0.323333359,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,"[""LeftButton_2""]",-0.266666651,-0.318333308,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,0.2,0.289583365,-0.536666743,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.220833302,-0.501666641,1,0,0,LeftButton,"[""LeftButton""]",0,12.8898,space,,,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,4.4913,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,0.261458317,-0.513333384,1,0,0,RightButton,"[""RightButton""]",,,,0,23.148,space,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,1.8279,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.260416667,-0.511666743,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,
