chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
"[48,76,120,109,178,138,111,49,143,32,163,71,84,80,103,173,118,154,196,77,18,201,60,135,45,157,155,182,59,186,185,121,123,66,107,104,94,175,156,151,89,0]",R_5BbMyj9NaP7q9xv,space,1.3126,space,3.1039,space,12.6047,space,15.5039,space,20.0457,space,14.574,space,5.9395,3,7.4047,1,8.3077,3,8.2195,1,16.8727,3,7.6056,0,0,0,0,1,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.3003,space,2.1294,space,4.3136,space,18.982,space,1.331,space,0.4808,3,2.8984,1,3.2795,3,4.1524,2,6.4843,2,2.332,1,0,1,0,1,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,space,2.3181,[],0.279703776,-0.308394097,0,0,0,0,0,0,2,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,"[""LeftButton_2""]",-0.28742947,-0.333897569,1,0,0,0,1,1,1,1,RightButton_2,9dot2.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,"[""RightButton_2""]",0.258924696,-0.311015625,1,0,0,0,2,2,0,1,RightButton_2,9dot2.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,0.2,0.292778863,-0.519071181,1,0,0,RightButton,"[""RightButton""]",0,5.9973,space,1.4438,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.25726454,-0.517664931,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,10,4.6773,space,0,7.8976,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,3.1683,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.293001302,-0.530703125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,9,2.2993,space,0,3.4645,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,0.9036,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.286105686,-0.525303819,1,0,0,RightButton,"[""RightButton""]",,,,,2.530110677,11.5653,space,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,0.9516,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.252473958,-0.487682292,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,79,9.748,space,0,7.2321,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,4.8794,,
