chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,incompleteTrials
"[116,79,87,162,175,106,77,11,131,165,48,151,156,50,150,117,72,173,63,186,89,23,128,110,66,179,144,25,134,188,68,190,201,141,99,124,98,194,95,49,142,40]",R_5C4do3eNoyYdAul,space,1.4626,space,1.3319,space,8.7699,space,24.026,space,13.7493,space,2.6644,space,1.4618,2,5.6626,1,6.7577,2,10.008,3,6.4525,3,1.6902,0,0,0,0,1,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.1835,space,1.4867,space,9.0983,space,10.0348,space,1.3205,space,0.5187,3,2.554,3,5.899,2,9.0012,3,4.3208,2,2.698,1,0,1,0,1,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8596,space,2.4689,space,4.7017,space,4.1965,space,2.2225,space,0.4372,3,2.1576,1,10.2826,3,4.9158,2,10.1019,2,3.4361,2,0,2,0,1,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,space,1.1046,[],0.276551871,0.155706522,0,0,0,0,0,0,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,[],0.276158588,0.09384341,0,0,0,0,1,1,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,[],0.276158588,0.09384341,0,0,0,0,2,2,2,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,0,-0.301950468,-0.526953125,1,0,0,LeftButton,"[""LeftButton""]",,,,2.005739796,5.8395,space,1.0418,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.256207483,-0.504390285,1,0,0,RightButton,"[""RightButton""]",,,,,,,,39,3.1737,space,31,4.4107,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.9351,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.361968537,-0.478736413,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,80.25310503,4.7652,space,73.11218048,5.8833,0,2,2,2,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,0.6193,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.255750425,-0.536565897,1,0,0,LeftButton,"[""LeftButton""]",,,,2.373538478,1.5682,space,1.119,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.26526892,-0.493181046,1,0,0,RightButton,"[""RightButton""]",,,,,,,,29,1.4201,space,41,2.2573,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,0.6673,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.296178784,-0.476290761,1,0,0,LeftButton,"[""LeftButton""]",31,1.7309,space,,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,1.1144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.260496386,-0.507150136,1,0,0,RightButton,"[""RightButton""]",,,,,,,,32,2.188,space,46,3.1565,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,0.5689,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.264041241,-0.53134341,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,
