choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,55,56]",space,10.3136,space,13.5445,trustworthy,4.173447537,6.8585,space,3.4354,0,0,0,11,1,12,image/12.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.006423983,3.4762,space,1.7467,0,1,1,6,1,7,image/7.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.736616702,2.3888,space,3.5691,0,2,2,26,1,27,image/27.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.280514049,4.1024,space,0.2871,0,3,3,43,1,44,image/44.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.740899488,9.035,space,0.3685,0,4,4,1,1,2,image/2.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.179871782,5.1602,space,2.3767,0,5,5,45,1,46,image/46.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.008565441,2.2114,space,0.5474,0,6,6,47,1,48,image/48.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.02783752,2.6884,space,0.2412,0,7,7,21,1,22,image/22.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,1.008565376,6.5671,space,0.6305,0,8,8,50,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.462527028,6.7502,space,0.2211,0,9,9,5,1,6,image/6.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,2.987152296,4.0389,space,0.2775,0,10,10,25,1,26,image/26.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.372591268,2.9932,space,0.8861,0,11,11,12,1,13,image/13.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.468950749,2.9203,space,2.5918,0,12,12,19,1,20,image/20.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.466809422,2.1119,space,0.385,0,13,13,48,1,49,image/49.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.993576017,1.6712,space,0.4356,0,14,14,7,1,8,image/8.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.762312634,5.0649,space,0.1421,0,15,15,3,1,4,image/4.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.471092208,14.4868,space,2.2603,0,16,16,15,1,16,image/16.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,2.99143469,10.8693,space,1.3001,0,17,17,16,1,17,image/17.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.002141589,6.8104,space,0.6673,0,18,18,23,1,24,image/24.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.428265525,6.0115,space,1.2721,0,19,19,30,1,31,image/31.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.518201285,6.02,space,7.4314,0,20,20,40,1,41,image/41.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,5.000000131,8.9873,space,8.1068,0,21,21,17,1,18,image/18.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.993576017,5.2883,space,3.8152,0,22,22,22,1,23,image/23.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.492505353,7.7332,space,0.6019,0,23,23,29,1,30,image/30.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,5.000000131,5.4498,space,1.4193,0,24,24,4,1,5,image/5.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,5.359743171,6.8213,space,0.859,0,25,25,41,1,42,image/42.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.398287199,6.562,space,0.9193,0,26,26,9,1,10,image/10.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.051392124,5.8449,space,0.7248,0,27,27,37,1,38,image/38.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.734475636,6.1809,space,1.0658,0,28,28,31,1,32,image/32.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.995717345,2.7013,space,2.2281,0,29,29,44,1,45,image/45.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.76659542,3.5269,space,2.3405,0,30,30,14,1,15,image/15.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,6.978587247,3.7395,space,0.5486,0,31,31,52,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.672376874,7.3488,space,1.0312,0,32,32,8,1,9,image/9.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.991434951,2.9632,space,1.2186,0,33,33,35,1,36,image/36.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.732334309,3.8069,space,3.4131,0,34,34,36,1,37,image/37.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.563169296,3.5536,space,3.0401,0,35,35,2,1,3,image/3.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,3.835118034,8.5363,space,6.9502,0,36,36,18,1,19,image/19.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,4.55888651,7.6899,space,0.9517,0,37,37,27,1,28,image/28.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,2.781584844,4.4937,space,1.9566,0,38,38,39,1,40,image/40.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
,,,,,,2.99143469,3.5193,space,2.3052,0,39,39,46,1,47,image/47.jpg,0,0,,R_5CTfFYNxQEuWapL,2,2024-05-28_13h51.58.052,face trait task,2021.2.3,Win32,60.24096386,120980,,,,,,,
