chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt
"[94,86,125,145,173,126,160,187,53,124,199,175,54,101,183,67,135,55,106,45,162,26,82,71,141,72,109,148,73,144,113,20,105,64,4,188,91,176,115,140,194,165]",R_5CTfFYNxQEuWapL,space,1.9455,space,6.0584,space,22.3318,space,23.7401,space,37.0344,space,21.338,space,7.6952,3,10.1684,1,10.9422,3,7.6739,3,9.4876,1,1.868,0,0,0,0,1,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1977,space,1.8481,space,0.5839,space,10.8013,space,1.7481,space,0.9891,3,1.7057,1,2.3494,3,2.4332,2,1.4853,2,6.2324,1,0,1,0,1,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,space,3.7332,"[""LeftButton_2""]",-0.300312333,-0.307637445,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,"[""LeftButton_2""]",-0.278893324,-0.323340471,1,0,0,LeftButton_2,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,"[""RightButton_2""]",0.229808149,-0.29193442,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.296742471,-0.514632493,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,86.37445405,20.0972,space,15.0627,16.23982036,27.1423,0,0,0,0,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.377956324,-0.46324063,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,85.2926859,3.682,space,1.7297,11.82260179,5.8369,0,1,1,1,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.242302544,-0.528907923,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,75,7.9921,space,11,11.6808,,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,2.1408,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.384203481,-0.524625268,1,0,0,LeftButton,"[""LeftButton""]",50,7.252,space,,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,7.6328,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.298527443,-0.476088595,1,0,0,RightButton,"[""RightButton""]",,,,,,,65,6.4037,space,66,10.05,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,2.0685,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283355672,-0.506067182,1,0,0,RightButton,"[""RightButton""]",,,,,,,40,4.459,space,34,7.3419,,,,,,,0,5,5,5,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,1.355,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.222668506,-0.473233405,1,0,0,RightButton,"[""RightButton""]",,,,4.090807811,10.934,space,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,3.2195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.34939759,-0.533190578,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,54.73273566,5.9473,space,1.1057,19.57527078,9.1728,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.260151691,-0.504639587,1,0,0,LeftButton,"[""LeftButton""]",45,2.8812,space,,,,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,0.9693,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.260151772,-0.503211991,1,0,0,RightButton,"[""RightButton""]",,,,,,,38,2.0738,space,31,5.9538,,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,2.2249,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.254796938,-0.524625268,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.233377929,-0.507494647,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,58,4.2144,space,46,6.6495,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,0.8697,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.369924114,-0.481798715,1,0,0,LeftButton,"[""LeftButton""]",59,1.8101,space,,,,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,0.9357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.227130691,-0.534618173,1,0,0,LeftButton,"[""LeftButton""]",41,2.6831,space,,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,0.5703,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.31102192,-0.483226311,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,59.42040039,3.4956,space,0.7221,29.31118413,5.9583,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.306559572,-0.506067182,1,0,0,LeftButton,"[""LeftButton""]",,,,4.242525931,3.3614,space,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,0.9645
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.253904534,-0.538900829,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,59.14995835,5.1433,space,1.069,41.12049194,2.1826,0,16,16,16,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.3145917,-0.526052863,1,0,0,LeftButton,"[""LeftButton""]",47,2.773,space,,,,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,1.6715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269968709,-0.517487552,1,0,0,LeftButton,"[""LeftButton""]",50,2.5828,space,,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,0.7244,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,0.255689424,-0.503211991,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,0.288710424,-0.496074276,1,0,0,RightButton,"[""RightButton""]",,,,4.363007858,1.5966,space,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,1.6388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.247657296,-0.516059957,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,0.247657296,-0.517487552,1,0,0,RightButton,"[""RightButton""]",,,,,,,60,6.7414,space,35,14.0655,,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,3.2436,,
