chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_apology.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[115,137,17,184,122,175,119,111,172,126,151,54,68,35,85,62,82,107,138,191,83,48,87,43,160,147,155,88,201,186,133,102,170,161,157,50,0,71,195,128,80,104]",R_5LgU1eXqKtcFTuL,space,2.1768,space,3.563,space,9.8561,space,20.1371,space,39.6038,space,17.1836,space,15.7905,1,20.1788,1,26.0777,3,9.4908,1,8.8855,3,5.063,0,0,0,0,1,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.2199,space,9.896,space,9.35,space,34.795,space,0.1787,space,3.1847,3,3.485,3,8.5866,3,6.9165,3,9.8352,3,5.592,1,0,1,0,1,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0432,space,1.857,space,3.4009,space,14.5969,space,4.5987,space,1,3,2.7155,1,5.5831,3,13.1322,2,9.6164,3,5.5985,2,0,2,0,1,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.481,space,0.987,space,0.4571,space,8.5418,space,2.4539,space,0.4563,3,2.2496,1,5.7472,3,2.0886,2,3.4815,2,4.8963,3,0,3,0,1,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,space,3.0069,"[""LeftButton_2""]",-0.284885204,-0.319344429,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,"[""RightButton_2""]",0.202582908,-0.29517663,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,"[""LeftButton_2""]",-0.203651148,-0.331929348,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.252083333,-0.527912704,1,0,0,LeftButton,"[""LeftButton""]",,,,1.979352679,11.6077,space,3.2677,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.256999362,-0.530324389,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.00715059,6.4154,space,29.47104978,12.69,0,1,1,1,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,1.0169,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.254607781,-0.540896739,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.240013818,-0.524031929,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,79.64809661,8.5449,space,41.41875816,16.7839,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,0.9965,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.23565051,-0.514622962,0,0,0,,[],,,,,,,,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,122,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,0.259220876,-0.459969429,1,0,0,RightButton,"[""RightButton""]",,,,,,,,60,5.803,space,70,10.2182,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,1.2221,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,0.261825043,-0.493308424,1,0,0,RightButton,"[""RightButton""]",,,,4.566857993,10.4156,space,2.8994,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,0.222890094,-0.485113791,1,0,0,RightButton,"[""RightButton""]",,,,4.975419855,5.285,space,0.6756,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,0.279405825,-0.46070822,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,5.434,space,84,10.7972,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,0.7357,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,0.244446216,-0.506453804,1,0,0,RightButton,"[""RightButton""]",,,,,,,,75,5.7549,space,90,9.3439,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,0.6973,,,,,,
