choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,58,54]",space,14.4848,space,33.5881,friendly,2.060208333,5.9993,space,1.4202,0,0,0,40,1,41,image/41.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,2.76609375,6.208,space,0.885,0,1,1,8,1,9,image/9.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,6.033411458,4.0236,space,1.0956,0,2,2,35,1,36,image/36.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.125963542,8.2239,space,0.707,0,3,3,18,1,19,image/19.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.00859375,2.9957,space,1.1491,0,4,4,24,1,25,image/25.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.069869792,4.2125,space,0.8372,0,5,5,42,1,43,image/43.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,1.992526042,3.0831,space,0.8056,0,6,6,44,1,45,image/45.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,1.002760417,4.5356,space,1.5429,0,7,7,52,1,55,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,3.453619792,6.0413,space,0.7228,0,8,8,48,1,49,image/49.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,3.006875,3.5303,space,0.6855,0,9,9,19,1,20,image/20.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.423619792,3.0204,space,0.8286,0,10,10,2,1,3,image/3.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.0040625,4.101,space,1.7364,0,11,11,6,1,7,image/7.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.504635417,4.1675,space,0.7506,0,12,12,27,1,28,image/28.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.492734375,4.3992,space,0.5123,0,13,13,16,1,17,image/17.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,1.646458333,2.6947,space,1.0372,0,14,14,33,1,34,image/34.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.549817708,6.9865,space,1.6501,0,15,15,47,1,48,image/48.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,3.005234375,4.3262,space,0.4231,0,16,16,37,1,38,image/38.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.541458333,4.0511,space,0.3715,0,17,17,29,1,30,image/30.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.50546875,4.374,space,0.4961,0,18,18,38,1,39,image/39.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.9828125,5.0263,space,1.5803,0,19,19,11,1,12,image/12.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.589348958,5.7828,space,0.8393,0,20,20,12,1,13,image/13.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.508854167,5.385,space,0.4454,0,21,21,4,1,5,image/5.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,6.000625,3.4606,space,0.3909,0,22,22,10,1,11,image/11.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,6.027786458,6.6555,space,0.4488,0,23,23,13,1,14,image/14.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,2.836588542,2.6664,space,0.3519,0,24,24,15,1,16,image/16.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.460052083,3.0629,space,0.3365,0,25,25,14,1,15,image/15.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.978697917,2.5298,space,0.7181,0,26,26,23,1,24,image/24.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,3.979791667,9.6479,space,0.4683,0,27,27,5,1,6,image/6.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,2.5821875,2.5337,space,0.3537,0,28,28,36,1,37,image/37.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.385,7.6496,space,0.3952,0,29,29,31,1,32,image/32.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.560416667,4.7439,space,0.5898,0,30,30,30,1,31,image/31.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,1.595546875,3.0508,space,0.6616,0,31,31,25,1,26,image/26.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,2.256380208,2.657,space,0.3691,0,32,32,3,1,4,image/4.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,2.9984375,2.5959,space,0.3038,0,33,33,17,1,18,image/18.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,3.39921875,3.4058,space,0.3408,0,34,34,0,1,1,image/1.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.996979167,3.3121,space,0.3345,0,35,35,34,1,35,image/35.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,2.024479167,2.7711,space,0.2691,0,36,36,28,1,29,image/29.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,1.001692708,6.0356,space,0.9515,0,37,37,50,1,52,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,2.973046875,6.6109,space,1.6489,0,38,38,39,1,40,image/40.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.551041667,4.907,space,0.324,0,39,39,49,1,50,image/50.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.029921875,3.6764,space,0.3528,0,40,40,41,1,42,image/42.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,5.98203125,4.613,space,0.2696,0,41,41,22,1,23,image/23.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.014661458,3.6863,space,0.4093,0,42,42,20,1,21,image/21.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
,,,,,,4.977708333,3.8871,space,0.2612,0,43,43,7,1,8,image/8.jpg,0,0,,R_5N39wPdNP63q03G,2,2024-05-29_11h24.34.502,face trait task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,
