chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
"[179,22,195,75,122,153,154,109,142,112,48,52,180,78,144,102,162,60,187,59,178,46,163,87,24,200,140,136,131,97,101,94,161,63,191,90,170,127,61,76,10,108]",R_5N39wPdNP63q03G,space,1.9967,space,9.744,space,21.041,space,70.4212,space,48.9797,space,27.2122,space,5.9841,3,8.9809,1,8.2735,3,7.2327,2,6.8146,2,3.8544,0,0,0,0,1,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,space,5.3217,"[""LeftButton_2""]",-0.258990885,-0.31265024,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,"[""LeftButton_2""]",-0.193704427,-0.340837648,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,"[""RightButton_2""]",0.209583333,-0.277852256,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.245201823,-0.515833025,1,0,0,RightButton,"[""RightButton""]",,,,,,,60,10.1576,space,3.973,29,18.2137,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.271757812,-0.492141272,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272128906,-0.527933155,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Greater,Smaller,,0.251490885,-0.517474112,1,0,0,RightButton,"[""RightButton""]",,,,,,,20,4.3247,space,1.81,10,7.2113,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240638021,-0.544205344,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,2.3425,space,2.3316,0,6.6608,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.286523437,-0.513590976,1,0,0,LeftButton,"[""LeftButton""]",40,7.5447,space,,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,3.8881,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Smaller,Greater,,0.242480469,-0.531862518,1,0,0,RightButton,"[""RightButton""]",39,4.9706,space,,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,1.4599,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.284576823,-0.496729382,1,0,0,LeftButton,"[""LeftButton""]",,,,2.556575521,15.4927,space,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,2.8036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5N39wPdNP63q03G,1,2024-05-29_10h32.43.300,interaction task,2021.2.3,MacIntel,60.0024001,120390,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.286035156,-0.526453865,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,58.92255892,5.6161,space,40.03972012,7.4502,0,8,8,8,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,1.0043
