choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,53,51]",space,3.2802,space,6.4539,critical,4.03734375,1.7787,space,0.4297,0,0,0,33,1,34,image/34.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,5.010625,7.3323,space,0.1699,0,1,1,4,1,5,image/5.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,6.008411458,3.5033,space,0.1881,0,2,2,19,1,20,image/20.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.999296875,2.1718,space,0.2264,0,3,3,28,1,29,image/29.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.999296875,3.3711,space,0.1857,0,4,4,7,1,8,image/8.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,1.910390625,1.7083,space,0.304,0,5,5,42,1,43,image/43.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.321276042,2.2426,space,0.2118,0,6,6,22,1,23,image/23.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,5.249791667,2.9752,space,0.1545,0,7,7,27,1,28,image/28.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,1.6575,3.8201,space,0.0894,0,8,8,11,1,12,image/12.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,3.211302083,2.6027,space,0.7869,0,9,9,9,1,10,image/10.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.254401042,3.0027,space,0.232,0,10,10,6,1,7,image/7.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,1.215442708,1.5248,space,0.1619,0,11,11,35,1,36,image/36.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,1,6.1491,space,2.4436,0,12,12,52,1,52,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,1.735963542,3.7614,space,0.1398,0,13,13,2,1,3,image/3.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.36921875,1.3897,space,0.1459,0,14,14,24,1,25,image/25.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,3.161328125,1.8821,space,0.4199,0,15,15,3,1,4,image/4.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.760104167,1.5471,space,0.1382,0,16,16,39,1,40,image/40.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.268463542,1.8947,space,0.1366,0,17,17,29,1,30,image/30.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.09859375,5.4462,space,0.4374,0,18,18,41,1,42,image/42.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,2.257005208,11.2471,space,0.1654,0,19,19,1,1,2,image/2.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,1.62734375,2.3752,space,0.378,0,20,20,10,1,11,image/11.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
,,,,,,4.660260417,2.9454,space,0.1266,0,21,21,45,1,46,image/46.jpg,0,0,,R_5NFLSVTrP1bwEtb,2,2024-05-29_19h44.19.121,face trait task,2021.2.3,MacIntel,59.88023952,120981,,,,,,,
