chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[104,93,118,190,200,187,178,169,53,108,181,164,157,85,107,139,137,77,5,171,75,62,43,55,121,30,12,60,124,193,120,83,119,86,152,50,142,144,155,156,100,71]",R_5NFLSVTrP1bwEtb,space,20.2419,space,0.6396,space,0.4298,space,0.1823,space,0.1499,space,30.8639,space,0.555,2,1.8456,3,3.0773,2,0.8038,2,1.0769,2,0.5083,0,0,0,0,1,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.6872,space,7.0891,space,13.187,space,0.8019,space,3.4209,space,3.5215,3,3.0729,1,7.1161,3,11.5698,1,9.0505,3,5.1356,1,0,1,0,1,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8944,space,0.3773,space,2.7189,space,25.3188,space,50.8673,space,0.5229,3,2.227,1,4.1527,3,4.3063,2,16.345,2,5.8713,2,0,2,0,1,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,space,1.1017,"[""RightButton_2""]",0.338183594,-0.293854167,1,0,0,RightButton_2,0,0,0,1,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,"[""LeftButton_2""]",-0.259971788,-0.312907986,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,"[""RightButton_2""]",0.312402344,-0.335130208,1,0,0,RightButton_2,0,2,2,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,0.2,-0.296674262,-0.481840278,1,0,0,LeftButton,"[""LeftButton""]",9,3.1937,space,1.1065,,,,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,0.263373481,-0.519392361,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,43.5953502,1.8059,space,75.14621037,2.9131,0,1,1,1,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,0.2123,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.309407552,-0.524548611,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.039388021,1.1755,space,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,0.9195,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,0.319004991,-0.523116319,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,38.15301452,2.6599,space,22.96861848,4.4604,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,0.7938,,,,,,,,
