choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,53,60]",space,8.6579,space,32.1948,friendly,5.159163818,3.8807,space,0.9004,0,0,0,17,1,18,image/18.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,1.5230896,1.9705,space,0.3349,0,1,1,31,1,32,image/32.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,4.424715576,2.1579,space,0.3585,0,2,2,34,1,35,image/35.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,1.071529541,2.8581,space,0.2923,0,3,3,38,1,39,image/39.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,2.675171305,2.2373,space,0.287,0,4,4,49,1,50,image/50.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,1.013527222,2.007,space,0.3387,0,5,5,26,1,27,image/27.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,1.022450765,2.1413,space,0.3522,0,6,6,28,1,29,image/29.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,1.022450765,1.4565,space,0.7195,0,7,7,15,1,16,image/16.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,4.784425049,1.7666,space,0.2666,0,8,8,2,1,3,image/3.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,2.187938436,2.1736,space,0.2367,0,9,9,45,1,46,image/46.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,3.783208822,2.2711,space,0.5549,0,10,10,24,1,25,image/25.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,1.220499268,1.7636,space,0.6566,0,11,11,39,1,40,image/40.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,4.99489502,2.7546,space,0.434,0,12,12,7,1,8,image/8.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,2.314986979,1.7942,space,0.2797,0,13,13,41,1,42,image/42.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,1.8128479,2.1283,space,0.266,0,14,14,3,1,4,image/4.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
,,,,,,3.022854004,2.8243,space,0.7348,0,15,15,4,1,5,image/5.jpg,0,0,,R_5Oxl4uaiGfTi56L,2,2024-05-30_11h44.45.950,face trait task,2021.2.3,MacIntel,59.88023952,120513,,,,,,,
