chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[137,83,94,47,79,56,76,173,69,124,142,117,52,150,157,55,62,113,122,182,92,168,178,95,201,163,159,148,140,184,104,98,191,195,154,67,102,131,24,22,112,3]",R_5Oxl4uaiGfTi56L,space,1.519,space,6.6437,space,16.4366,space,28.7224,space,55.7445,space,13.7316,space,5.2531,1,12.4237,1,12.2005,3,18.9982,2,23.6789,3,5.432,0,0,0,0,1,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.5614,space,3.8169,space,5.2833,space,58.8115,space,2.7707,space,1.1343,3,5.6878,1,3.765,3,9.4492,1,11.9575,3,2.4816,1,0,1,0,1,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5689,space,0.2423,space,0.2406,space,0.1346,space,0.3334,space,0.356,3,4.0023,1,3.0668,3,3.0326,2,12.2214,2,12.7359,2,0,2,0,1,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,space,6.0614,[],-0.267766232,-0.288925374,0,0,0,0,0,0,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,"[""RightButton_2""]",0.26849077,-0.305097114,1,0,0,0,1,1,1,1,RightButton_2,11dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,"[""LeftButton_2""]",-0.279794057,-0.266494412,1,0,0,0,2,2,0,1,RightButton_2,9dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,0.2,0.268658362,-0.534275309,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,90.11068976,12.6913,space,1.9399,0.038999821,17.1175,0,0,0,0,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.289497164,-0.507744412,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,12.5914,space,99,16.8139,,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,1.0336,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.25637953,-0.518783366,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,98.59612633,5.3811,space,0.6512,0.084211048,8.9632,0,2,2,2,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.256704542,-0.504683567,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,,,,
