choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,56,60]",space,24.5843,space,35.3983,friendly,3.003776042,6.6392,space,0.7843,0,0,0,40,1,41,image/41.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,3.979609375,1.9563,space,1.4247,0,1,1,43,1,44,image/44.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,2.01828125,4.3827,space,0.3336,0,2,2,47,1,48,image/48.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,6.987708333,12.2529,space,0.9679,0,3,3,51,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,1.998671875,6.4819,space,0.8375,0,4,4,42,1,43,image/43.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,3.008072917,3.348,space,0.5905,0,5,5,5,1,6,image/6.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,3.953671875,3.6574,space,0.6833,0,6,6,26,1,27,image/27.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,1,4.2293,space,0.7021,0,7,7,41,1,42,image/42.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,3.014010417,1.7761,space,0.4757,0,8,8,18,1,19,image/19.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,4.951875,2.7039,space,0.4082,0,9,9,2,1,3,image/3.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,4.993515625,1.9531,space,0.4074,0,10,10,20,1,21,image/21.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,3.997421875,2.4522,space,0.2798,0,11,11,27,1,28,image/28.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,2.999296875,1.6881,space,0.2829,0,12,12,24,1,25,image/25.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,2.995963542,1.2032,space,0.5397,0,13,13,7,1,8,image/8.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
,,,,,,3.972786458,1.6716,space,0.1359,0,14,14,35,1,36,image/36.jpg,0,0,,R_5PyR4YVF9PC296x,2,2024-05-14_10h12.59.305,face trait task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,
