chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
"[153,121,38,202,75,2,117,60,195,148,167,101,72,52,126,77,67,93,182,115,98,112,136,68,168,95,48,134,190,105,146,175,25,166,156,170,127,133,181,15,50,94]",R_5PyR4YVF9PC296x,space,2.1997,space,5.7076,space,22.7783,space,37.6243,space,38.3827,space,15.7962,space,7.4434,3,10.7449,1,14.0949,3,16.066,1,12.4204,3,8.7675,0,0,0,0,1,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,4.599,space,19.0319,space,16.5837,space,36.3913,space,6.3835,space,2.7673,3,4.3176,2,12.8199,3,6.3404,2,3.766,2,1.8337,1,0,1,0,1,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.6546,space,0.4446,space,0.3679,space,0.5218,space,1.6227,space,1.2595,3,2.162,1,2.7697,3,2.6108,2,1.383,2,0.8087,2,0,2,0,1,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,space,1.8764,"[""LeftButton_2""]",-0.277072483,-0.312717014,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,"[""LeftButton_2""]",-0.219319661,-0.334244792,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,"[""LeftButton_2""]",-0.356130642,-0.336571181,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.254969618,-0.47578125,1,0,0,LeftButton,"[""LeftButton""]",90,8.6337,space,3.8862,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.265093316,-0.511944444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,12,8.6623,space,30,12.5551,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,1.1747,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.310080295,-0.465737847,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,3,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313069661,-0.517725694,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
