choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,55,60]",space,8.6318,space,5.4269,competent,3.900110394,7.1013,space,0.9707,0,0,0,47,1,48,image/48.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.467425272,10.1181,space,0.7318,0,1,1,25,1,26,image/26.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.387576427,1.8939,space,0.5008,0,2,2,1,1,2,image/2.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.019284986,1.6614,space,0.2694,0,3,3,5,1,6,image/6.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,1.503702446,1.6308,space,0.3869,0,4,4,28,1,29,image/29.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,1.035232677,2.4959,space,0.5688,0,5,5,0,1,1,image/1.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,1.977980639,1.9786,space,0.9183,0,6,6,46,1,47,image/47.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.928141984,1.6287,space,0.3955,0,7,7,27,1,28,image/28.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.741898777,1.7793,space,0.4852,0,8,8,36,1,37,image/37.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.017892323,2.2629,space,0.3029,0,9,9,24,1,25,image/25.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,6.487075408,2.3455,space,0.3456,0,10,10,35,1,36,image/36.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.163264266,1.513,space,0.535,0,11,11,26,1,27,image/27.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,6.818792459,2.0119,space,0.368,0,12,12,49,1,50,image/50.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.664971128,2.813,space,0.2912,0,13,13,39,1,40,image/40.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.436328125,2.3114,space,0.3044,0,14,14,2,1,3,image/3.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.114758832,1.9618,space,0.3578,0,15,15,41,1,42,image/42.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.552148437,1.4303,space,0.6685,0,16,16,29,1,30,image/30.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,6.967900815,5.5501,space,1.2525,0,17,17,51,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.107362432,3.0628,space,0.3686,0,18,18,15,1,16,image/16.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.381615149,2.9948,space,0.3503,0,19,19,18,1,19,image/19.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.22568784,2.1643,space,0.5382,0,20,20,42,1,43,image/43.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.217340353,1.6634,space,0.368,0,21,21,40,1,41,image/41.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.025186821,2.1462,space,0.4509,0,22,22,22,1,23,image/23.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.057150136,1.5179,space,0.4516,0,23,23,48,1,49,image/49.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.984307065,1.7002,space,0.3016,0,24,24,10,1,11,image/11.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.271688179,1.6141,space,0.5191,0,25,25,14,1,15,image/15.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.296900476,1.5452,space,0.3687,0,26,26,13,1,14,image/14.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.25804178,1.4963,space,0.4213,0,27,27,7,1,8,image/8.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.952318274,1.9654,space,0.435,0,28,28,38,1,39,image/39.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.72265625,1.7455,space,0.5378,0,29,29,12,1,13,image/13.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.578549592,2.4295,space,0.3355,0,30,30,4,1,5,image/5.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.885427989,1.6303,space,0.5759,0,31,31,6,1,7,image/7.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.299380095,1.5127,space,0.4352,0,32,32,11,1,12,image/12.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.790157948,1.6119,space,0.6851,0,33,33,23,1,24,image/24.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.991227921,1.6126,space,0.3509,0,34,34,3,1,4,image/4.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.939928668,1.6635,space,0.9195,0,35,35,17,1,18,image/18.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.327955163,3.2688,space,0.3158,0,36,36,31,1,32,image/32.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.062797215,1.6296,space,0.6517,0,37,37,45,1,46,image/46.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.27063519,1.663,space,0.3189,0,38,38,21,1,22,image/22.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.857455842,1.8633,space,0.5184,0,39,39,30,1,31,image/31.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,6.958933424,2.729,space,0.457,0,40,40,50,1,59,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.400900136,2.0774,space,0.7723,0,41,41,34,1,35,image/35.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.527870245,1.3472,space,0.2018,0,42,42,37,1,38,image/38.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.641109035,4.3929,space,0.3215,0,43,43,20,1,21,image/21.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,6.974855639,2.079,space,0.5518,0,44,44,33,1,34,image/34.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,6.990574049,2.8846,space,0.3348,0,45,45,52,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.176842731,1.8779,space,1.3547,0,46,46,19,1,20,image/20.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,1.139453125,2.4698,space,0.9054,0,47,47,16,1,17,image/17.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.526570992,1.4786,space,0.4012,0,48,48,9,1,10,image/10.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.652131454,1.945,space,0.8189,0,49,49,43,1,44,image/44.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.252335258,2.6641,space,0.3694,0,50,50,44,1,45,image/45.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.417994226,1.8782,space,0.4361,0,51,51,32,1,33,image/33.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.195465353,3.1786,space,1.6664,0,52,52,8,1,9,image/9.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,0,0,0,1,1,1,competent.png
,,,,,friendly,6.96107337,2.5543,space,0.5404,0,0,0,50,1,59,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.258975883,3.9027,space,0.4488,0,1,1,34,1,35,image/35.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.224108356,1.3117,space,0.317,0,2,2,4,1,5,image/5.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.111820652,1.4634,space,1.0351,0,3,3,12,1,13,image/13.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,2.456334918,2.3788,space,0.7343,0,4,4,27,1,28,image/28.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.073505435,1.462,space,0.3852,0,5,5,29,1,30,image/30.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,3.807379416,1.9787,space,0.3511,0,6,6,7,1,8,image/8.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,1.312279212,1.5447,space,0.3187,0,7,7,38,1,39,image/39.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,1.089164402,1.9781,space,0.4513,0,8,8,8,1,9,image/9.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,5.573242188,1.964,space,0.3556,0,9,9,31,1,32,image/32.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
,,,,,,4.930188519,1.7285,space,0.4847,0,10,10,11,1,12,image/12.jpg,0,0,,R_5SxAnX25qTwpM5H,2,2024-05-12_23h49.36.558,face trait task,2021.2.3,MacIntel,59.88023952,120364,,,,,,,
