chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
"[49,129,195,26,124,164,84,135,101,175,78,134,62,61,190,80,45,146,57,181,184,130,165,173,155,98,95,115,145,18,114,202,116,136,60,86,6,72,102,58,172,163]",R_5SxAnX25qTwpM5H,space,2.5559,space,5.5633,space,26.5447,space,32.2412,space,7.1384,space,10.4448,space,6.7193,2,11.7644,1,14.429,3,9.4752,1,10.8435,3,11.3571,0,0,0,0,1,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0486,space,1.2506,space,0.3656,space,8.3204,space,1.2152,space,0.7325,1,2.0333,1,6.6644,3,4.7388,1,6.8675,1,6.5533,1,0,1,0,1,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8738,space,1.4894,space,4.8031,space,15.4774,space,1.1393,space,0.5567,3,3.755,1,4.2676,3,2.2977,2,2.8649,3,3.6163,2,0,2,0,1,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.3133,space,0.2321,space,0.4831,space,2.8658,space,0.5699,space,0.6224,3,1.9518,1,5.1525,3,3.6823,2,2.8363,2,1.784,3,0,3,0,1,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,space,3.957,"[""RightButton_2""]",0.312228954,-0.331351902,1,0,0,RightButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,"[""LeftButton_2""]",-0.294233631,-0.317399796,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,"[""LeftButton_2""]",-0.287919855,-0.347223166,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,-0.275547406,-0.515404212,1,0,0,LeftButton,"[""LeftButton""]",61,7.9568,space,1.7494,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.299537628,-0.488654891,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,31,5.1392,space,3,9.4552,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,1.0615,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293085672,-0.527377717,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2984375,-0.49163553,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,0.271582696,-0.482795516,1,0,0,RightButton,"[""RightButton""]",,,,,,,,9,18.8369,space,2,21.0818,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,1.2479,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.334252764,-0.517824389,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.052216199,11.2241,space,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,1.5511,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.236405187,-0.516193954,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,30.89365165,4.7372,space,34.99772384,8.337,0,6,6,6,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,1.3002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,0.342447917,-0.530596128,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,81.37078695,3.5682,space,0,6.7136,0,7,7,7,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,0.8156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,0.345822704,-0.52821841,1,0,0,RightButton,"[""RightButton""]",2,2.7584,space,1.3015,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.33807398,-0.534222147,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,49,2.707,space,3,5.6162,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,0.8502,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.29468006,-0.524753736,1,0,0,RightButton,"[""RightButton""]",,,,,,,,24,2.2209,space,4,4.3221,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,0.7385,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.311267007,-0.491771399,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,22.86910345,1.8988,space,7.331070054,3.6874,0,11,11,11,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,0.5858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,0.349612032,-0.517994226,1,0,0,RightButton,"[""RightButton""]",,,,,2.37670068,3.0895,space,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,0.9739,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297353316,-0.502640965,1,0,0,RightButton,"[""RightButton""]",,,,,0.469653486,2.7843,space,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,0.9344,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.312755102,-0.522070313,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,23.1949598,2.1994,space,39.15923693,4.1654,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,0.614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.310209396,-0.528108016,1,0,0,RightButton,"[""RightButton""]",,,,,,,,39,3.4233,space,5,4.2899,,,,,,0,15,15,15,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.6341,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.302949617,-0.526604959,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.299404762,-0.500424592,1,0,0,LeftButton,"[""LeftButton""]",14,3.9527,space,2.2583,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283891369,-0.527768342,1,0,0,RightButton,"[""RightButton""]",36,1.7524,space,0.8835,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.226817602,-0.476545516,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,26.53834261,2.3981,space,28.11877276,4.6981,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,0.6327
