choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,51,55]",space,10.1289,space,43.3604,competent,2.983151042,2.9786,space,0.9222,0,0,0,40,1,41,image/41.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,2.907890625,5.2002,space,0.567,0,1,1,27,1,28,image/28.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,4.6265625,5.2576,space,0.3566,0,2,2,1,1,2,image/2.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,3.032213542,3.0041,space,0.2158,0,3,3,47,1,48,image/48.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,2.964401042,1.8055,space,0.1782,0,4,4,30,1,31,image/31.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,3.001380208,4.9025,space,0.1907,0,5,5,8,1,9,image/9.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,4.048802083,7.2079,space,0.3176,0,6,6,16,1,17,image/17.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,6.989088542,4.1304,space,1.1719,0,7,7,52,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,5.914583333,5.4007,space,1.7127,0,8,8,20,1,21,image/21.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,2.973072917,3.2039,space,0.3169,0,9,9,39,1,40,image/40.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,3.02171875,4.0667,space,0.1642,0,10,10,31,1,32,image/32.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,6.988020833,3.9,space,0.4027,0,11,11,7,1,8,image/8.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,5.019791667,2.8849,space,0.157,0,12,12,22,1,23,image/23.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,6.0540625,2.4165,space,0.6029,0,13,13,41,1,42,image/42.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,1.945755208,6.7664,space,0.42,0,14,14,34,1,35,image/35.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,5.0203125,3.116,space,0.283,0,15,15,12,1,13,image/13.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
,,,,,,6.004921875,2.1377,space,0.209,0,16,16,11,1,12,image/12.jpg,0,0,,R_5WYyGOzXtwowWQ4,2,2024-05-28_19h56.16.780,face trait task,2021.2.3,MacIntel,62.11180124,120836,,,,,,,
