chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt
"[46,97,58,69,79,124,183,151,8,73,181,175,34,96,70,156,202,137,111,113,77,60,99,146,143,117,162,154,169,160,131,13,141,85,193,185,48,52,86,121,94,174]",R_5WYyGOzXtwowWQ4,space,2.325,space,6.4775,space,23.3294,space,18.0968,space,32.0289,space,10.6526,space,3.9758,3,7.7433,1,7.3884,2,7.0561,2,8.4259,2,4.6796,0,0,0,0,1,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1214,space,1.0067,space,0.2239,space,0.1725,space,0.8629,space,0.4316,3,4.5515,1,4.4802,3,3.5428,2,1.7432,2,0.7825,1,0,1,0,1,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,space,2.6371,"[""LeftButton_2""]",-0.332259115,-0.325190972,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,"[""LeftButton_2""]",-0.324658203,-0.292604167,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,"[""LeftButton_2""]",-0.294829644,-0.295512153,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.277842882,-0.480286458,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.239523655,-0.540789931,1,0,0,LeftButton,"[""LeftButton""]",58,11.3581,space,,,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,1.4326,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273323568,-0.504296875,1,0,0,LeftButton,"[""LeftButton""]",20,3.5254,space,,,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,1.1143,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,0.22609592,-0.500026042,1,0,0,RightButton,"[""RightButton""]",,,,4.954779731,11.623,space,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,1.4115,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,0.225857205,-0.519817708,1,0,0,RightButton,"[""RightButton""]",,,,,,,70,5.8281,space,0,9.3841,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,1.04,
