choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,55,50]",space,10.7047,space,34.4788,competent,6.1875,8.1801,space,6.2409,0,0,0,11,1,12,image/12.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.671875,5.3723,space,3.296,0,1,1,14,1,15,image/15.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.765625,2.9649,space,0.7048,0,2,2,25,1,26,image/26.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.0078125,2.212,space,0.6699,0,3,3,6,1,7,image/7.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.1484375,2.6627,space,1.0023,0,4,4,40,1,41,image/41.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.8984375,2.2409,space,0.361,0,5,5,46,1,47,image/47.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.8046875,4.9198,space,0.9414,0,6,6,10,1,11,image/11.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.03125,2.2004,space,0.5521,0,7,7,8,1,9,image/9.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,3.96875,1.7895,space,0.8694,0,8,8,47,1,48,image/48.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,7,4.7527,space,2.3081,0,9,9,51,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,4.9375,3.6532,space,0.8576,0,10,10,49,1,50,image/50.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.015625,2.6288,space,0.3819,0,11,11,28,1,29,image/29.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,4.140625,1.6806,space,0.4657,0,12,12,36,1,37,image/37.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.109375,1.5764,space,0.322,0,13,13,9,1,10,image/10.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.109375,1.7857,space,0.6665,0,14,14,15,1,16,image/16.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.109375,1.336,space,0.5848,0,15,15,20,1,21,image/21.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.1484375,2.8662,space,0.6176,0,16,16,22,1,23,image/23.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.78125,4.1387,space,1.4165,0,17,17,45,1,46,image/46.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.546875,2.1115,space,0.6074,0,18,18,18,1,19,image/19.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.015625,4.0989,space,1.7571,0,19,19,13,1,14,image/14.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.0234375,2.056,space,0.3398,0,20,20,4,1,5,image/5.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.03125,3.2588,space,0.3489,0,21,21,1,1,2,image/2.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,4.296875,1.6343,space,0.7663,0,22,22,41,1,42,image/42.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,4.9375,1.7534,space,0.437,0,23,23,29,1,30,image/30.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.9140625,2.1955,space,0.3174,0,24,24,32,1,33,image/33.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.0546875,3.4501,space,1.8978,0,25,25,26,1,27,image/27.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.859375,3.7431,space,0.269,0,26,26,2,1,3,image/3.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.0546875,2.2002,space,0.4349,0,27,27,7,1,8,image/8.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.84375,2.9486,space,2.0439,0,28,28,23,1,24,image/24.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,3.953125,3.9548,space,0.3878,0,29,29,48,1,49,image/49.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.5546875,4.1804,space,1.0034,0,30,30,30,1,31,image/31.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.8984375,2.9737,space,0.7157,0,31,31,17,1,18,image/18.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.0546875,2.5217,space,0.3131,0,32,32,43,1,44,image/44.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.125,3.0051,space,2.2744,0,33,33,44,1,45,image/45.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.671875,2.3212,space,0.4087,0,34,34,12,1,13,image/13.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,4.0546875,6.9145,space,0.0987,0,35,35,42,1,43,image/43.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,4.3125,6.0794,space,1.2848,0,36,36,19,1,20,image/20.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.296875,4.8488,space,1.8834,0,37,37,38,1,39,image/39.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.0625,2.8745,space,0.557,0,38,38,21,1,22,image/22.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,1,5.432,space,1.9659,0,39,39,52,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,3.5859375,2.1692,space,2.4698,0,40,40,34,1,35,image/35.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,6.875,2.593,space,1.3273,0,41,41,31,1,32,image/32.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.1875,4.3209,space,2.0481,0,42,42,5,1,6,image/6.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
,,,,,,5.8125,4.3038,space,0.4272,0,43,43,0,1,1,image/1.jpg,0,0,,R_5ZUNCbLeFy8Pq4V,2,2024-05-31_13h10.27.800,face trait task,2021.2.3,Win32,60.24096386,120161,,,,,,,
