chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[70,47,121,49,34,193,163,129,79,100,66,161,143,122,63,85,182,83,48,94,149,1,114,104,117,141,73,173,154,174,175,90,133,201,18,158,102,146,187,59,110,188]",R_5ZUNCbLeFy8Pq4V,space,2.6962,space,5.346,space,25.9857,space,19.4547,space,28.352,space,8.8475,space,5.7797,3,20.6134,1,6.0959,3,7.4894,1,11.4262,3,4.6572,0,0,0,0,1,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.6057,space,2.9392,space,2.5779,space,30.7749,space,2.8078,space,1.8885,3,1.9985,1,1.5427,3,1.6023,2,1.6252,2,2.0991,1,0,1,0,1,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,space,2.699,"[""RightButton_2""]",0.317715959,-0.322916667,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,"[""LeftButton_2""]",-0.327964861,-0.341145833,1,0,0,LeftButton_2,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,"[""RightButton_2""]",0.269399707,-0.2890625,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,0.282576867,-0.5390625,1,0,0,RightButton,"[""RightButton""]",,,,2.961200586,22.0763,space,2.3442,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.339677892,-0.518229167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.335285505,-0.541666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,22,9.7231,space,22,13.1761,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,1.897,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25329429,-0.502604167,1,0,0,LeftButton,"[""LeftButton""]",1,3.2459,space,,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,0.9831,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.292825769,-0.479166667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.306002928,-0.520833333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
