choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,55,55,55]",space,9.2996,space,44.2809,friendly,3.986822917,3.0498,space,1.3962,0,0,0,24,1,25,image/25.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,2.981666667,2.9956,space,1.0018,0,1,1,40,1,41,image/41.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,3.008723958,2.8653,space,0.8182,0,2,2,27,1,28,image/28.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,5.010260417,3.9023,space,0.4183,0,3,3,4,1,5,image/5.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,5.975833333,4.0794,space,1.9186,0,4,4,35,1,36,image/36.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,3.97328125,3.1145,space,0.9505,0,5,5,15,1,16,image/16.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,5.995104167,3.6215,space,0.3409,0,6,6,3,1,4,image/4.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,2.643255208,4.545,space,2.769,0,7,7,45,1,46,image/46.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,4.495625,4.4637,space,1.5208,0,8,8,13,1,14,image/14.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
,,,,,,3.420755208,4.2934,space,0.8048,0,9,9,38,1,39,image/39.jpg,0,0,,R_5gBJYH1TXEzkJ8L,2,2024-05-10_22h48.49.498,face trait task,2021.2.3,MacIntel,58.82352941,120347,,,,,,,
