chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[92,84,22,81,116,28,142,133,178,48,62,179,161,98,61,75,41,107,6,173,127,55,193,191,166,111,50,199,131,80,63,138,103,118,160,146,122,88,155,183,145,180]",R_5gBJYH1TXEzkJ8L,space,7.8516,space,3.9041,space,4.7675,space,5.0753,space,99.1767,space,10.3358,space,6.7389,1,24.6415,2,10.1385,3,20.5914,2,10.6319,3,33.6364,0,0,0,0,1,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,9.3227,space,14.4908,space,22.3328,space,30.8509,space,5.8362,space,4.3391,3,8.2741,1,8.5566,3,4.3052,2,6.2548,2,1.5277,1,0,1,0,1,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,space,3.8132,"[""LeftButton_2""]",-0.255658637,-0.280651042,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,"[""LeftButton_2""]",-0.233463542,-0.315590278,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,"[""LeftButton_2""]",-0.224468316,-0.322265625,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,-0.231315104,-0.525677083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,80.71075337,6.3408,space,2.102,2.38024779,10.6537,0,0,0,0,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.271110026,-0.500390625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,90.00179749,3.2646,space,1.6071,1.782911581,7.566,0,1,1,1,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267578125,-0.52421875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267578125,-0.52421875,1,0,0,RightButton,"[""RightButton""]",,,,,,,65,7.7174,space,0,15.796,,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,1.5169,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.255674913,-0.544869792,1,0,0,LeftButton,"[""LeftButton""]",,,,1.428385417,13.3991,space,,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,1.854,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.267154948,-0.526657986,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,2,RandomDot23.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,0.296381293,-0.531744792,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,100,5.2456,space,2.487,0,9.2989,0,6,6,6,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.238449436,-0.506631944,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,4.5667,space,1.4376,0,10.5032,0,7,7,7,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.241281467,-0.515078125,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,70,3.7924,space,2,7.5333,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,0.868,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.26891276,-0.533741319,1,0,0,LeftButton,"[""LeftButton""]",25,4.209,space,,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,1.358,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.238145616,-0.528125,1,0,0,LeftButton,"[""LeftButton""]",,,,3.532823351,8.2806,space,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,2.1962,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.316655816,-0.505946181,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,76,4.3474,space,0,7.1406,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,0.7801,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,0.325835503,-0.540598958,1,0,0,RightButton,"[""RightButton""]",,,,4.986707899,2.5481,space,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,0.7644,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.326540799,-0.503098958,1,0,0,LeftButton,"[""LeftButton""]",0,4.8973,space,,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,0.9349,,,,,,
