choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,52,60]",space,0.9091,space,2.3913,competent,2.99828125,4.8207,space,1.4039,0,0,0,16,1,17,image/17.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,4.957369792,2.3622,space,0.5347,0,1,1,26,1,27,image/27.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,3.997994792,2.3274,space,0.1353,0,2,2,18,1,19,image/19.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,5.307421875,1.6962,space,0.3411,0,3,3,35,1,36,image/36.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,5.051458333,1.4106,space,0.2353,0,4,4,47,1,48,image/48.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,5.00828125,2.6219,space,0.1866,0,5,5,7,1,8,image/8.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,3.99046875,2.6117,space,0.4181,0,6,6,19,1,20,image/20.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,2.98609375,3.0436,space,0.4504,0,7,7,38,1,39,image/39.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,6.0209375,2.9624,space,0.2498,0,8,8,21,1,22,image/22.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,6.935911458,1.6601,space,0.5345,0,9,9,30,1,31,image/31.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
,,,,,,3.997083333,3.0262,space,0.3347,0,10,10,37,1,38,image/38.jpg,0,0,,R_5jfA4GJL7XpO7KM,2,2024-05-31_21h26.57.662,face trait task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,
