chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt
"[137,86,170,110,135,70,167,99,105,122,109,195,163,31,18,182,71,92,56,84,187,50,55,121,72,151,37,68,198,152,184,126,9,174,102,153,159,80,136,73,169,111]",R_5jfA4GJL7XpO7KM,space,1.6676,space,83.7954,space,18.7839,space,23.2472,space,46.1395,space,33.3794,space,5.6278,3,8.0718,2,8.32,3,13.9058,1,7.9011,3,5.0033,0,0,0,0,1,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1659,space,17.1661,space,11.1668,space,24.626,space,0.0023,space,0.9702,3,2.9697,1,5.6379,3,3.434,2,7.2498,2,5.035,1,0,1,0,1,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,space,4.0728,"[""LeftButton_2""]",-0.36242947,-0.256762153,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,"[""RightButton_2""]",0.2859375,-0.263654514,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,"[""LeftButton_2""]",-0.252967665,-0.348151042,1,0,0,LeftButton_2,0,2,2,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,0.259255642,-0.502717014,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,100,11.007,space,3.4664,0.444111251,20.4587,0,0,0,0,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.317312283,-0.536805556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,45.93372966,3.2159,space,0.97,11.99078458,5.7651,0,1,1,1,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.300379774,-0.465078125,1,0,0,RightButton,"[""RightButton""]",,,,,,,48,3.4041,space,20,4.7251,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.5854,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.347781033,-0.510685764,1,0,0,RightButton,"[""RightButton""]",,,,3.050320095,10.7741,space,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,0.915,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.306429036,-0.519375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,69.4611041,2.6864,space,0.1841,29.45821058,3.4864,0,4,4,4,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,
