choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,57,54]",space,8.1678,space,23.416,friendly,3.283816721,2.8854,space,0.8518,0,0,0,30,1,31,image/31.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,4.421874788,2.4587,space,0.5641,0,1,1,9,1,10,image/10.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,5.435489866,2.4046,space,0.4576,0,2,2,23,1,24,image/24.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,4.768564596,3.0527,space,0.6351,0,3,3,12,1,13,image/13.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,4.649579454,3.5101,space,1.066,0,4,4,44,1,45,image/45.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,4.314141977,2.7686,space,0.8089,0,5,5,28,1,29,image/29.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,5.843532899,2.6354,space,0.4081,0,6,6,6,1,7,image/7.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,4.795783463,2.9688,space,0.4919,0,7,7,40,1,41,image/41.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,6.909455052,7.4103,space,0.6033,0,8,8,51,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,5.549300957,2.7668,space,0.5182,0,9,9,4,1,5,image/5.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
,,,,,,5.734335743,2.3187,space,1.7767,0,10,10,14,1,15,image/15.jpg,0,0,,R_5lSB76siDkwnBL3,2,2024-05-13_09h56.44.584,face trait task,2021.2.3,Linux x86_64,59.88023952,120201,,,,,,,
