chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[177,152,124,89,45,178,90,181,71,60,191,76,160,75,197,109,170,125,104,198,122,167,156,149,108,133,119,51,74,54,105,132,92,147,98,69,138,187,53,22,11,30]",R_5lSB76siDkwnBL3,space,5.1671,space,2.8247,space,10.2296,space,18.9621,space,20.4366,space,16.3862,space,2.2649,1,13.4429,1,11.7321,1,8.2848,1,21.94,3,7.507,0,0,0,0,1,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9188,space,0.7178,space,2.2326,space,0.7277,space,2.1347,space,0.3994,3,2.2836,2,5.7874,2,7.8786,1,5.2183,3,4.9005,1,0,1,0,1,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.834,space,0.5965,space,1.7865,space,8.6158,space,0.5833,space,0.4355,3,1.4551,3,6.447,3,5.5211,2,4.7653,3,4.3482,2,0,2,0,1,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5321,space,0.3673,space,0.2525,space,0.1664,space,0.551,space,0.4335,3,1.3004,3,2.1169,3,2.7816,1,4.1501,1,3.8392,3,0,3,0,1,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.7813,space,0.2803,space,0.1996,space,0.1684,space,0.5727,space,0.4663,3,1.17,1,8.1455,3,11.8305,3,31.8849,2,5.0241,4,0,4,0,1,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9363,space,0.4008,space,0.1665,space,0.2422,space,6.9907,space,0.3721,3,1.2311,1,0.5701,3,0.4858,3,2.0703,2,2.8939,5,0,5,0,1,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.2438,space,0.2171,space,0.1619,space,0.1249,space,0.7172,space,0.4176,3,1.0628,1,0.3288,3,0.2589,1,0.0505,2,0.2846,6,0,6,0,1,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.4224,space,0.2038,space,0.1263,space,0.2103,space,0.8172,space,0.3573,3,1.4516,1,0.3003,3,0.3341,2,2.6497,2,0.6846,7,0,7,0,1,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,space,1.4527,[],0.529311385,-0.249673763,0,0,0,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,"[""LeftButton_2""]",-0.372596445,-0.287745258,1,0,0,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
