choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,59,56]",space,23.3689,space,66.28,friendly,1,22.9901,space,4.9347,0,0,0,50,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.983333333,3.4434,space,4.1071,0,1,1,11,1,12,image/12.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.894444784,10.6894,space,5.9839,0,2,2,14,1,15,image/15.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.133333333,4.7696,space,5.2835,0,3,3,6,1,7,image/7.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,3.727778117,3.3621,space,2.1357,0,4,4,29,1,30,image/30.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,5.655555725,2.4416,space,1.6945,0,5,5,2,1,3,image/3.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,3.988889058,9.7429,space,4.8341,0,6,6,16,1,17,image/17.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.21111145,3.6868,space,1.212,0,7,7,36,1,37,image/37.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.005555725,9.6703,space,4.6926,0,8,8,21,1,22,image/22.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,3.7,4.0653,space,1.8653,0,9,9,10,1,11,image/11.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.983333333,11.1607,space,3.3894,0,10,10,3,1,4,image/4.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,3.75,4.8831,space,3.65,0,11,11,28,1,29,image/29.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,3.305555725,3.6905,space,3.2693,0,12,12,34,1,35,image/35.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,3.472222392,3.0016,space,1.3239,0,13,13,39,1,40,image/40.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.427778117,3.7062,space,1.9026,0,14,14,20,1,21,image/21.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.483333333,3.1524,space,0.5818,0,15,15,27,1,28,image/28.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.01111145,9.4665,space,5.8191,0,16,16,0,1,1,image/1.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.538889058,3.7633,space,0.8433,0,17,17,18,1,19,image/19.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,6.988889058,5.8424,space,4.1521,0,18,18,52,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
,,,,,,4.516666667,6.6911,space,4.7002,0,19,19,9,1,10,image/10.jpg,0,0,,R_5lzc9Eh9N9dRLuJ,2,2024-05-31_16h51.15.066,face trait task,2021.2.3,Win32,60.24096386,120414,,,,,,,
