chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt
"[148,36,92,34,65,169,138,157,150,83,116,193,66,173,110,100,202,191,63,153,183,84,170,142,115,55,130,125,18,160,49,163,80,103,141,129,89,7,48,82,104,184]",R_5lzc9Eh9N9dRLuJ,space,1.6761,space,6.2698,space,44.8731,space,87.2443,space,87.2753,space,43.112,space,6.6698,3,8.5291,1,10.5953,3,7.4226,2,17.0856,2,5.3507,0,0,0,0,1,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,space,5.0524,"[""LeftButton_2""]",-0.332291651,-0.312963019,1,0,0,LeftButton_2,0,0,0,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,"[""RightButton_2""]",0.25,-0.314814843,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,"[""RightButton_2""]",0.303125,-0.327777778,1,0,0,RightButton_2,0,2,2,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,0.203125,-0.511111111,1,0,0,RightButton,"[""RightButton""]",30,10.7798,space,1.1752,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.278125,-0.527777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,0.279166698,-0.509259372,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,89.35185827,18.0301,space,0.441919192,14.3775,0,2,2,2,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,8.504,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.272916651,-0.498148261,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.276041651,-0.525926039,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.932291985,8.8699,space,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,2.6077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,0.261458397,-0.524074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,,50,4.4107,space,29,10.458,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,0.8896
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.28125,-0.518518575,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.87373737,4.1302,space,0.126262626,6.9569,0,6,6,6,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,1.1626,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257291651,-0.505555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.963541985,8.0313,space,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,2.1551,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.229166651,-0.477777778,1,0,0,LeftButton,"[""LeftButton""]",60,3.7308,space,5.5145,,,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.272916651,-0.514814928,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,20,5.082,space,8,14.4265,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,1.2698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.265625,-0.494444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.973958492,8.7202,space,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,1.0596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.307291651,-0.514814928,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
