choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session.order,session_serial,slider_judge_img,face_loop.order
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,55,58]",t,9.5932,space,1.5371,critical,3.667355957,1.9414,space,1.2915,0,0,0,39,1,40,image/40.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,4.468860677,2.1654,space,0.2172,0,1,1,17,1,18,image/18.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,2,2,1,1,2,image/2.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,2,2,1,1,2,image/2.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,2,2,1,1,2,image/2.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,3,3,15,1,16,image/16.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,3,3,15,1,16,image/16.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,3,3,15,1,16,image/16.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,4,4,52,1,59,image/59.jpg,1,3,Please drag the slider to around 3 to indicate that you are paying attention,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,4,4,52,1,59,image/59.jpg,1,3,Please drag the slider to around 3 to indicate that you are paying attention,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
