chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trialseq.order
"[192,33,15,160,143,100,155,119,141,116,90,127,36,191,57,203,173,185,110,64,98,177,76,132,124,60,10,56,95,52,175,163,102,164,71,93,81,80,153,180,123,148]",R_5xTgfhZQPc6lLs5,space,1.7779,space,4.8916,space,16.261,space,32.9466,space,33.2197,space,12.092,space,8.0757,1,11.1942,2,11.3606,2,7.8818,1,11.0736,2,7.4911,0,0,0,0,1,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.9362,space,7.6993,space,14.6299,space,5.2776,space,1.745,space,0.4544,2,6.5171,1,4.5975,2,2.9837,2,1.7534,2,0.445,1,0,1,0,1,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0691,space,0.4534,space,0.1831,space,0.1509,space,2.1785,space,0.4499,3,8.1245,1,8.283,2,4.9987,2,3.0428,2,0.3139,2,0,2,0,1,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.684,space,0.4955,space,0.1628,space,0.17,space,5.5514,space,2.0959,3,4.6852,3,6.2209,3,11.0506,2,1.1717,2,0.251,3,0,3,0,1,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8551,space,0.372,space,0.2568,space,0.2065,space,0.0528,space,0.5499,3,1.7708,1,1.3957,3,1.1171,2,1.2395,2,0.3698,4,0,4,0,1,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,space,4.1588,"[""RightButton_2""]",0.296598307,-0.291180556,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,"[""LeftButton_2""]",-0.310921224,-0.331631944,1,0,0,LeftButton_2,0,1,1,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,"[""RightButton_2""]",0.286762153,-0.326788194,1,0,0,RightButton_2,0,2,2,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,-0.305962457,-0.523315972,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.230626085,-0.496310764,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,2,RandomDot25.png,No answer,20,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.265988498,-0.51203125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,1,RandomDot35.png,No answer,21,,,,,,
