choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,58,60]",space,61.1733,space,588.6703,friendly,3.905344828,8.5566,space,7.6043,0,0,0,4,1,5,image/5.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,4.050883621,2.0259,space,1.7176,0,1,1,11,1,12,image/12.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,3.019342672,2.2716,space,1.5179,0,2,2,14,1,15,image/15.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,2.951616379,8.348,space,1.0461,0,3,3,33,1,34,image/34.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,2.032704741,3.9272,space,0.5668,0,4,4,0,1,1,image/1.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,3.134105603,6.8029,space,2.7191,0,5,5,32,1,33,image/33.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,1.107618534,4.44,space,2.2013,0,6,6,36,1,37,image/37.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,1.016099138,1.8998,space,0.3342,0,7,7,45,1,46,image/46.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,1.0215625,2.649,space,0.2238,0,8,8,46,1,47,image/47.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,2.948771552,2.6349,space,2.0845,0,9,9,15,1,16,image/16.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,3.054482759,2.784,space,0.2197,0,10,10,13,1,14,image/14.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,1.073318966,3.6177,space,1.802,0,11,11,19,1,20,image/20.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,4.973706897,2.9663,space,0.4299,0,12,12,18,1,19,image/19.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,1.073609914,1.5543,space,0.2353,0,13,13,42,1,43,image/43.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,6.003663793,2.2651,space,0.4017,0,14,14,17,1,18,image/18.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,2.071821121,3.2245,space,0.323,0,15,15,41,1,42,image/42.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
,,,,,,4.100053879,2.9316,space,0.7548,0,16,16,7,1,8,image/8.jpg,0,0,,R_61d7Su0GZhtK1nx,2,2024-05-26_21h49.35.242,face trait task,2021.2.3,MacIntel,59.88023952,120983,,,,,,,
