chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[141,143,158,91,145,100,173,53,110,103,194,95,157,8,73,125,160,116,130,127,132,68,185,177,181,94,61,152,62,24,104,76,168,148,57,184,75,117,54,47,16,202]",R_61d7Su0GZhtK1nx,space,5.923,space,2.9209,space,9.0145,space,16.0046,space,32.0618,space,5.6891,space,6.3448,3,9.3767,2,10.4202,3,6.2869,1,12.537,2,4.5585,0,0,0,0,1,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9208,space,0.4987,space,0.381,space,0.5324,space,0.734,space,0.4668,3,1.7173,2,20.5531,3,5.314,3,2.1016,2,1.5145,1,0,1,0,1,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.2866,space,0.2337,space,0.2037,space,0.4483,space,1.8309,space,0.4686,3,1.4528,1,1.5653,3,2.2643,2,2.8377,2,0.9144,2,0,2,0,1,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,space,1.0424,"[""LeftButton_2""]",-0.239737457,-0.312952586,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,"[""RightButton_2""]",0.325111607,-0.317521552,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,"[""RightButton_2""]",0.239955357,-0.332284483,1,0,0,RightButton_2,0,2,2,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,0.280808886,-0.522381466,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,23.93363911,20.3647,space,4.2345,20.25795798,18.3972,0,0,0,0,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.287122662,-0.470915948,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,16.06745602,4.8538,space,2.2017,57.34545712,7.9697,0,1,1,1,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.271210672,-0.501831897,1,0,0,RightButton,"[""RightButton""]",,,,1.960406037,32.4494,space,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,7.1386,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254852253,-0.5115625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,30.39869357,4.0575,space,0.8865,61.01254896,8.0295,0,3,3,3,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,,,,,,,
