choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,50,53]",space,11.551,space,28.097,friendly,4,2.992,space,7.347,0,0,0,26,1,27,image/27.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.013333333,5.403,space,0.636,0,1,1,30,1,31,image/31.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.006666667,2.404,space,2.021,0,2,2,4,1,5,image/5.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,3.013333333,2.656,space,1.671,0,3,3,28,1,29,image/29.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1.96,2.702,space,1.389,0,4,4,21,1,22,image/22.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.526666667,2.421,space,1.053,0,5,5,13,1,14,image/14.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.98,2.068,space,0.501,0,6,6,41,1,42,image/42.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.366666667,4.238,space,2.618,0,7,7,34,1,35,image/35.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.54,2.454,space,0.551,0,8,8,6,1,7,image/7.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.24,2.937,space,0.479,0,9,9,25,1,26,image/26.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,3.673333333,3.458,space,0.997,0,10,10,32,1,33,image/33.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.986666667,6.158,space,1.428,0,11,11,3,1,4,image/4.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.966666667,3.101,space,1.161,0,12,12,23,1,24,image/24.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.32,2.405,space,1.318,0,13,13,44,1,45,image/45.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1.733333333,2.126,space,1.106,0,14,14,42,1,43,image/43.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.386666667,3.221,space,1.511,0,15,15,20,1,21,image/21.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.253333333,2.857,space,0.512,0,16,16,45,1,46,image/46.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.993333333,3.635,space,2.064,0,17,17,37,1,38,image/38.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,4,2.302,space,0.371,0,18,18,9,1,10,image/10.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,6.146666667,2.924,space,0.871,0,19,19,11,1,12,image/12.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,3.166666667,1.905,space,0.955,0,20,20,19,1,20,image/20.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.34,4.105,space,0.428,0,21,21,29,1,30,image/30.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1.893333333,1.956,space,0.489,0,22,22,0,1,1,image/1.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.286666667,5.006,space,0.335,0,23,23,14,1,15,image/15.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.573333333,1.911,space,0.671,0,24,24,33,1,34,image/34.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.386666667,2.571,space,0.556,0,25,25,22,1,23,image/23.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1.433333333,3.539,space,0.678,0,26,26,47,1,48,image/48.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,3.733333333,3.635,space,0.395,0,27,27,49,1,50,image/50.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,6.166666667,3.068,space,0.52,0,28,28,31,1,32,image/32.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.046666667,4.572,space,0.595,0,29,29,7,1,8,image/8.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1.973333333,3.058,space,0.937,0,30,30,18,1,19,image/19.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1.006666667,4.704,space,0.992,0,31,31,51,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.826666667,4.152,space,1.563,0,32,32,48,1,49,image/49.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,6.986666667,3.152,space,1.121,0,33,33,50,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,6.226666667,2.19,space,0.752,0,34,34,12,1,13,image/13.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.246666667,2.819,space,1.388,0,35,35,43,1,44,image/44.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,6.133333333,3.505,space,1.76,0,36,36,40,1,41,image/41.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.686666667,2.624,space,0.326,0,37,37,24,1,25,image/25.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1.886666667,3.724,space,0.474,0,38,38,8,1,9,image/9.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.373333333,3.587,space,1.651,0,39,39,15,1,16,image/16.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.593333333,3.372,space,0.321,0,40,40,2,1,3,image/3.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1,4.037,space,0.605,0,41,41,52,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,6.02,2.375,space,0.657,0,42,42,17,1,18,image/18.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,1.353333333,2.672,space,0.321,0,43,43,39,1,40,image/40.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,2.593333333,3.535,space,0.567,0,44,44,1,1,2,image/2.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,3.746666667,3.425,space,1.625,0,45,45,38,1,39,image/39.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,5.673333333,2.324,space,0.788,0,46,46,10,1,11,image/11.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
,,,,,,3.993333333,2.967,space,0.541,0,47,47,27,1,28,image/28.jpg,0,0,,R_68i7aYrs5yFNwB3,2,2024-05-23_15h11.08.534,face trait task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,
