chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[114,92,201,2,77,91,195,132,60,130,75,137,152,176,136,65,149,187,119,146,52,111,89,127,50,180,191,168,99,20,177,128,159,68,24,160,74,53,164,105,104,41]",R_68i7aYrs5yFNwB3,space,10.681,space,6.182,space,25.928,space,32.888,space,43.394,space,20.803,space,5.569,4,10.443,3,9.675,3,9.888,2,7.732,2,3.154,0,0,0,0,1,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.59,space,11.917,space,3.749,space,0.789,space,2.567,space,0.875,3,8.556,1,13.087,3,2.489,2,1.601,2,1.036,1,0,1,0,1,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,space,4.237,[],0.348611111,-0.324444444,0,0,0,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,"[""RightButton_2""]",0.334722222,-0.324444444,1,0,0,0,1,1,0,1,RightButton_2,9dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,[],0.336111111,-0.326666667,0,0,0,0,2,2,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,0.2,0.275,-0.542222222,1,0,0,RightButton,"[""RightButton""]",,,,1.972222222,12.307,space,4.799,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.241666667,-0.477777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,40.31986532,16.329,space,80.3030303,12.145,0,1,1,1,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,5.019,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.277777778,-0.54,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.245833333,-0.506666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.256944444,-0.508888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,13.682,space,70,10.251,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,6.573,,,,,,,
