choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,59,55]",space,7.0843,space,21.049,competent,6.421711426,10.1596,space,4.0566,0,0,0,29,1,30,image/30.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.451031901,3.027,space,1.2196,0,1,1,19,1,20,image/20.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.205699463,3.3936,space,0.6905,0,2,2,38,1,39,image/39.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.610524089,2.959,space,0.6571,0,3,3,32,1,33,image/33.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.900304769,3.2553,space,0.5704,0,4,4,6,1,7,image/7.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.575594076,3.4241,space,0.4218,0,5,5,10,1,11,image/11.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.000352783,4.3415,space,0.3251,0,6,6,25,1,26,image/26.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.660757243,2.3431,space,0.4998,0,7,7,26,1,27,image/27.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.558412679,2.7056,space,0.4597,0,8,8,0,1,1,image/1.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.108365885,6.4174,space,3.6757,0,9,9,42,1,43,image/43.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.810646159,2.7031,space,0.2634,0,10,10,15,1,16,image/16.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.242820638,2.688,space,0.3021,0,11,11,49,1,50,image/50.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.259235026,2.0119,space,0.3357,0,12,12,20,1,21,image/21.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.675715332,2.2422,space,0.4031,0,13,13,2,1,3,image/3.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.579101563,4.4401,space,0.2576,0,14,14,3,1,4,image/4.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.723845215,2.7423,space,0.2598,0,15,15,46,1,47,image/47.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.818358561,2.0912,space,0.3884,0,16,16,31,1,32,image/32.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.818358561,3.7068,space,0.3218,0,17,17,35,1,36,image/36.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.079402669,2.8304,space,0.3191,0,18,18,1,1,2,image/2.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.641056722,2.674,space,0.613,0,19,19,13,1,14,image/14.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.009018148,3.7236,space,0.2567,0,20,20,24,1,25,image/25.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.515288493,4.4263,space,0.3709,0,21,21,5,1,6,image/6.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.093221842,2.2708,space,0.3696,0,22,22,18,1,19,image/19.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.420586751,3.1746,space,0.3069,0,23,23,44,1,45,image/45.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.737655029,2.3419,space,0.3033,0,24,24,40,1,41,image/41.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.097236328,3.7226,space,0.2238,0,25,25,27,1,28,image/28.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.43928304,4.9394,space,0.2874,0,26,26,34,1,35,image/35.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,5.473911133,2.3424,space,0.4357,0,27,27,39,1,40,image/40.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
,,,,,,6.077913411,2.4456,space,0.3338,0,28,28,22,1,23,image/23.jpg,0,0,,R_6FVQ6tVpIriVaju,2,2024-05-30_22h03.52.634,face trait task,2021.2.3,MacIntel,63.69426752,115201,,,,,,,
