chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[184,78,143,79,4,71,100,132,56,15,77,108,171,169,70,32,85,43,146,153,63,131,135,202,182,109,49,164,130,120,99,162,189,89,107,53,166,152,112,93,193,168]",R_6FVQ6tVpIriVaju,space,1.5058,space,3.6436,space,12.7343,space,20.9625,space,24.0842,space,8.2265,space,3.6755,1,18.1431,1,7.9401,3,6.3702,3,19.3866,1,8.9516,0,0,0,0,1,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.7173,space,6.7182,space,4.6172,space,21.1749,space,3.8692,space,0.9786,3,3.5915,1,1.7312,3,4.3866,2,2.5847,2,1.6686,1,0,1,0,1,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,space,3.0666,"[""LeftButton_2""]",-0.22425198,-0.284978299,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,"[""RightButton_2""]",0.22554813,-0.286332058,1,0,0,RightButton_2,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,"[""LeftButton_2""]",-0.257794359,-0.29621582,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,-0.245942858,-0.501026883,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,59.27426117,11.9575,space,1.1876,59.76208003,17.9904,0,0,0,0,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,0.269883304,-0.512362196,1,0,0,RightButton,"[""RightButton""]",,,,,,,88,6.5763,space,34,8.8491,,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,0.8918,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,0.307115936,-0.494275581,0,0,0,,[],,,,,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,143,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,0.276578606,-0.493532986,1,0,0,RightButton,"[""RightButton""]",,,,,,,86,2.2956,space,36,3.8897,,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.7007,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.32789065,-0.515070394,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,0,RandomDot20.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,0.206233724,-0.455829264,1,0,0,RightButton,"[""RightButton""]",,,,3.026017931,13.8112,space,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,2.7557,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.274142541,-0.515189345,1,0,0,RightButton,"[""RightButton""]",29,5.2355,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,,1.8215,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25747189,-0.529419217,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,35.12033448,4.6525,space,0.4668,33.58514788,5.8411,0,7,7,7,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,0.312040117,-0.5263109,1,0,0,RightButton,"[""RightButton""]",70,2.6133,space,,,,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,,0.5842,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277589247,-0.477743598,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,1,RandomDot35.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.282620833,-0.499261475,1,0,0,RightButton,"[""RightButton""]",,,,,,,94,4.7414,space,31,5.9624,,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,0.8834,,,,,,,,
