choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,58,54]",space,7.9593,space,19.7808,friendly,3.004479167,7.1061,space,1.1209,0,0,0,32,1,33,image/33.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.503958333,4.319,space,0.6972,0,1,1,24,1,25,image/25.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.02140625,9.374,space,0.9026,0,2,2,27,1,28,image/28.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.02140625,1.6835,space,0.3499,0,3,3,0,1,1,image/1.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.968541667,2.2315,space,0.6727,0,4,4,7,1,8,image/8.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.990026042,1.5007,space,0.1952,0,5,5,2,1,3,image/3.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,5.01375,4.3056,space,0.2957,0,6,6,35,1,36,image/36.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.52328125,2.2834,space,0.4724,0,7,7,25,1,26,image/26.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,7,12.1278,space,1.4328,0,8,8,51,1,59,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,4.65703125,7.8621,space,2.7873,0,9,9,39,1,40,image/40.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,4.706223958,1.9781,space,1.3692,0,10,10,37,1,38,image/38.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,5.980859375,2.2163,space,0.5907,0,11,11,33,1,34,image/34.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.05125,1.9473,space,1.1018,0,12,12,42,1,43,image/43.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,4.948515625,1.685,space,0.9523,0,13,13,31,1,32,image/32.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,4.029661458,1.8343,space,1.9882,0,14,14,36,1,37,image/37.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,4.038723958,1.6668,space,0.8165,0,15,15,15,1,16,image/16.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.396484375,2.4481,space,0.3158,0,16,16,5,1,6,image/6.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,2.626640625,2.48,space,1.3541,0,17,17,30,1,31,image/31.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.990260417,1.9157,space,0.2846,0,18,18,46,1,47,image/47.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.990260417,1.3318,space,0.3348,0,19,19,29,1,30,image/30.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,1,4.5134,space,0.8346,0,20,20,50,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,4.780807292,4.5753,space,1.79,0,21,21,28,1,29,image/29.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
,,,,,,3.3153125,2.6285,space,0.4351,0,22,22,13,1,14,image/14.jpg,0,0,,R_6It1un8kGFdY7i4,2,2024-05-23_14h38.53.131,face trait task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,
