chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[121,191,151,181,200,169,73,101,126,78,156,153,113,132,129,65,114,189,39,9,177,62,112,86,178,49,34,54,135,83,95,106,50,60,167,105,84,20,194,144,159,138]",R_6It1un8kGFdY7i4,space,1.0936,space,1.0969,space,3.3014,space,2.7474,space,0.4488,space,1.5578,space,0.6976,3,1.9432,1,2.4369,3,1.8256,2,1.4701,2,0.3073,0,0,0,0,1,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,space,1.2601,"[""LeftButton_2""]",-0.236691623,-0.307256944,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,"[""LeftButton_2""]",-0.28297526,-0.322769097,1,0,0,LeftButton_2,0,1,1,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,"[""LeftButton_2""]",-0.353450521,-0.265980903,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.312000868,-0.516623264,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,3.7684,space,0.6638,49,13.8223,,,,,,0,0,0,0,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293440755,-0.487100694,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,51.92408021,2.5474,space,30.18159021,5.0816,0,1,1,1,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,0.4706,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.244384766,-0.537074653,1,0,0,RightButton,"[""RightButton""]",69,3.4313,space,,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,0.4042,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,181,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,4,4,4,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,200,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,169,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,73,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,101,,,,,
