key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,15.7803,space,6.512,2.000169837,9.3144,space,0.7103,0,0,0,3,1,4,image/4.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.99577106,8.3695,space,0.3192,0,1,1,38,1,39,image/39.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.002156929,3.6774,space,0.3719,0,2,2,30,1,31,image/31.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,2.994811481,4.1388,space,0.6433,0,3,3,10,1,11,image/11.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,2.993181046,3.716,space,0.2886,0,4,4,40,1,41,image/41.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.99439538,3.8788,space,0.2184,0,5,5,1,1,2,image/2.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.99439538,1.9828,space,0.55,0,6,6,26,1,27,image/27.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,4.007413383,2.748,space,0.4232,0,7,7,37,1,38,image/38.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,4.007413383,1.9699,space,0.3668,0,8,8,8,1,9,image/9.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,2.996671196,2.6813,space,0.2178,0,9,9,33,1,34,image/34.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.002691916,5.042,space,0.7677,0,10,10,51,1,57,image/57.jpg,1,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.007048234,8.7218,space,1.6175,0,11,11,47,1,48,image/48.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.007048234,1.9167,space,0.3372,0,12,12,29,1,30,image/30.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,2.020575747,2.3345,space,0.3557,0,13,13,31,1,32,image/32.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,4.000254755,4.8576,space,0.2544,0,14,14,9,1,10,image/10.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,1.989801291,2.3864,space,0.3361,0,15,15,27,1,28,image/28.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,1.996603261,4.8089,space,0.2735,0,16,16,35,1,36,image/36.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.000670856,3.4073,space,0.6621,0,17,17,15,1,16,image/16.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,1.001273777,4.2643,space,0.6512,0,18,18,20,1,21,image/21.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.978371264,2.8538,space,0.3389,0,19,19,12,1,13,image/13.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.008186141,3.742,space,0.5675,0,20,20,22,1,23,image/23.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,2.000653872,3.5515,space,0.3006,0,21,21,2,1,3,image/3.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,2.987066916,3.1341,space,0.3235,0,22,22,32,1,33,image/33.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,2.987066916,28.6836,space,0.4499,0,23,23,7,1,8,image/8.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,2.006360394,2.9446,space,0.3639,0,24,24,17,1,18,image/18.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,4.996272079,4.0853,space,0.3051,0,25,25,41,1,42,image/42.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.999031929,3.3676,space,0.2344,0,26,26,23,1,24,image/24.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.013162364,3.1032,space,0.2854,0,27,27,28,1,29,image/29.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.013162364,1.2676,space,0.4294,0,28,28,21,1,22,image/22.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.007328465,3.5278,space,0.3973,0,29,29,6,1,7,image/7.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.007328465,1.781,space,0.5134,0,30,30,46,1,47,image/47.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.007328465,1.1013,space,0.3225,0,31,31,14,1,15,image/15.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.007328465,0.9049,space,0.361,0,32,32,19,1,20,image/20.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.977301291,3.3241,space,0.2818,0,33,33,45,1,46,image/46.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,4.99563519,1.8755,space,0.2641,0,34,34,39,1,40,image/40.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,4.99563519,0.9245,space,0.3502,0,35,35,0,1,1,image/1.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,4.99563519,1.2174,space,0.351,0,36,36,16,1,17,image/17.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,4.013884171,2.2345,space,0.3519,0,37,37,49,1,50,image/50.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.970855978,1.6862,space,0.2871,0,38,38,18,1,19,image/19.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.970855978,0.9833,space,0.3844,0,39,39,4,1,5,image/5.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.006182065,3.7095,space,0.3309,0,40,40,50,1,53,image/53.jpg,1,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.006182065,2.7428,space,0.5337,0,41,41,52,1,57,image/57.jpg,1,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,5.006182065,2.1554,space,0.3196,0,42,42,5,1,6,image/6.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
,,,,3.992459239,2.5507,space,0.2833,0,43,43,25,1,26,image/26.jpg,0,R_6JCnE5DyshtV1nw,2,2024-04-12_13h03.04.037,face trait task,2021.2.3,MacIntel,59.52380952,120479,,,,,,,
